1. W|caselletti puglia|igp primitivo 2020|??|r|primitivo|??|??|2020|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
2. W|caselletti ramone|zinfandel|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
3. W|caselva|prosecco extra dry|it|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
4. W|casematte peloro|rosso terre siciliane igp 20|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
5. W|casenobe rivesaltes|1974|??|r|??|??|??|1974|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|casenuove|1975 chianti classico|it|r|??|??|??|1975|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|caseo|410|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|caseo|470|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|caseo|530|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|caseo capinera gialla|moscato|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
11. W|caseo|moscato|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
12. W|caseo oltrepo pavese metodo cassico cl|75|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|caseo oltrepo pavese|moscato|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
14. W|caseo oltrepo pavese|pinot nero 470 brut 2019|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, sushi|brut
15. W|caseo oltrepo pavese|pinot nero cl 75|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|caseo|pinot nero igt 2020|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
17. W|caseo|pinot nero rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
18. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|casera frontin|brut natur|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
20. W|casera frontin donadi|maurizio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|casera frontin pet nat natural|wine out of stock|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
22. W|casera frontin|rose donadi maurizio|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
23. W|casera frontin spumante|brut 2022|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, sushi|brut
24. W|caserecce|1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|caserecce|280g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|caserecce|980g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|caserecce|alluovo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|caserecce artisan 500g de|cecco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|caserecce au riz complet sans gluten|250g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|caserecce|igp 500g|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
31. W|caserecce trafilata al bronzo italiano 500g|divella|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|caserecce|zaccagni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|casereccia no66|500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|casereccie divella|500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|caserio de duena|verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
36. W|caserio nayda ribeiro|blanco 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|casero tres leches bimbo 220g|6uds|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|caserola alimentar de plastic dreptunghi|3 buc 17115cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|caserola alimentara de plastic rotunda 4buc buline|179|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|caserola alimentara din plastic dreptungh3buc capac cu desene|151155cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|caserola aluminiu briose|5bucatiset|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|caserola aluminiu briose|5bucatiset|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=41
43. W|caserola cu branzeturi romanesti proaspete ridichi si ceapa verdevreau|extra pe 10 aprilie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|caserola cu branzeturi romanesti proaspete ridichi si ceapa verdevreau|extra pe 11 aprilie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|caserola cu branzeturi romanesti proaspete ridichi si ceapa verdevreau|extra pe 8 aprilie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|caserola cu branzeturi romanesti proaspete ridichi si ceapa verdevreau|extra pe 9 aprilie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|caserola unica folosinta|3 sectii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
48. W|cases of|wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|casesparse|2020 pusole|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
50. W|casesparse|2021 pusole|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
51. W|caseta|lichior|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|casetacutieladita aluatpaline pizza dimensiune|40x30cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
53. W|casetacutieladita aluatpaline pizza|ranforsata60x40cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
54. W|casetaladita pentru palinealuat|pizza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|casetaladita perforata pentru palinealuat|pizza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|casetello di meleto|rose metodo classico brut 2019|??|p|??|??|??|2019|12.5|??|leve|saladas, aves, queijos leves|seco
57. W|casetello di verduno barolo|massara|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
58. W|caseti chamonix jet lighter with cigar|cutter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|caseti cigar|ashtray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|caseti doubleblade cigar|cutter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|caseti marseille dual jet|lighter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
62. W|caseti nantes hybrid flame|lighter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|caseti nice jet|lighter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|caseti rome flint|lighter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|caseti soleil jet|lighter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|caseti vcut cigar|cutter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|casetta|1978 barolo|it|r|??|??|??|1978|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|casetta|1978 nebbiolo dalba|??|r|nebbiolo|??|??|1978|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
69. W|casetta|1982 barbaresco vigna ausario|it|r|??|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco
70. W|casette bianco|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
