1. W|casio reloj|a168wem2df|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|casio reloj|a168wg9wdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|casio reloj|a168wg9wdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=2
4. W|casio reloj|a168xesg9adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|casio reloj|a168xesg9adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=4
6. W|casio reloj|a171weg9adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|casio reloj|a171weg9adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=6
8. W|casio reloj|a178wa1adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|casio reloj|a178wa1adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
10. W|casio reloj|a178wga1adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|casio reloj|a178wga1adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=10
12. W|casio reloj|a500wga1df|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|casio reloj|a500wga1df|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=12
14. W|casio reloj|a700wev7adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|casio reloj|a700wev7adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
16. W|casio reloj ae1000w|1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|casio reloj ae1000w|1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=16
18. W|casio reloj|ae1000w1a3vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|casio reloj|ae1000w1a3vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
20. W|casio reloj|ae1000w1bvsdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|casio reloj|ae1000w1bvsdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=20
22. W|casio reloj|ae1000w2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|casio reloj|ae1000w2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=22
24. W|casio reloj|ae1000w3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|casio reloj|ae1000w3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=24
26. W|casio reloj|ae1000w4avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|casio reloj|ae1000w4avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=26
28. W|casio reloj|ae1000w4bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|casio reloj|ae1000w4bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=28
