1. W|casio reloj|mtp1215a2adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|casio reloj|mtp1215a7adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|casio reloj|mtp1215a7adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=2
4. W|casio reloj|mtp1274sg7bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|casio reloj|mtp1274sg7bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=4
6. W|casio reloj|mtp1275d7bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|casio reloj|mtp1275d7bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=6
8. W|casio reloj|mtp1275g9adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|casio reloj|mtp1275g9adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
10. W|casio reloj|mtp1275sg9adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|casio reloj|mtp1275sg9adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=10
12. W|casio reloj|mtp1302d1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|casio reloj|mtp1302d1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=12
14. W|casio reloj|mtp1302d7a1vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|casio reloj|mtp1302d7a1vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
16. W|casio reloj|mtp1302d7bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|casio reloj|mtp1302d7bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=16
18. W|casio reloj mtp1303d|7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|casio reloj mtp1303d|7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
20. W|casio reloj mtp1303d|7bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|casio reloj mtp1303d|7bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=20
22. W|casio reloj|mtp1303d1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|casio reloj|mtp1303d1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=22
24. W|casio reloj mtp1303sg|7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|casio reloj mtp1303sg|7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=24
26. W|casio reloj|mtp1308d1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|casio reloj|mtp1308d1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=26
28. W|casio reloj|mtp1308d1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|casio reloj|mtp1308d1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=28
30. W|casio reloj|mtp1335d2a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|casio reloj|mtp1335d2a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=30
32. W|casio reloj|mtp1335d2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|casio reloj|mtp1335d2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
34. W|casio reloj|mtp1335d7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|casio reloj|mtp1335d7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=34
36. W|casio reloj|mtp1374d1a3vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|casio reloj|mtp1374d1a3vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=36
38. W|casio reloj|mtp1374d2a3vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|casio reloj|mtp1374d2a3vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=38
40. W|casio reloj|mtp1374d2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|casio reloj|mtp1374d2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=40
42. W|casio reloj|mtp1374d5avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|casio reloj|mtp1374d5avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=42
44. W|casio reloj|mtp1374d7a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|casio reloj|mtp1374d7a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=44
46. W|casio reloj|mtp1374d7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|casio reloj|mtp1374d7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=46
48. W|casio reloj|mtp1374l1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|casio reloj|mtp1374l1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=48
50. W|casio reloj|mtp1374l7a1vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
51. W|casio reloj|mtp1374l7a1vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=50
52. W|casio reloj|mtp1374sg7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
53. W|casio reloj|mtp1374sg7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=52
54. W|casio reloj|mtp1384d2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|casio reloj|mtp1384d2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=54
56. W|casio reloj|mtpe111gb2avd|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
57. W|casio reloj|mtpe111gb2avd|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=56
58. W|casio reloj|mtpe111gbl2av|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
