W|francois ducrot|auguste orange vdf 2023|fr|r|??|??|??|2023|13.5|VDF|encorpado|carne vermelha, queijo|seco
W|francois ducrot|auguste vdf 2020|fr|r|??|??|??|2020|13.5|VDF|encorpado|carne vermelha, queijo|seco
W|francois ducrot|auguste vdf 2022|fr|r|??|??|??|2022|13.5|VDF|encorpado|carne vermelha, queijo|seco
W|francois ducrot|auguste vdf orange 2023|fr|r|??|??|??|2023|13.5|VDF|encorpado|carne vermelha, queijo|seco
W|francois ducrot|la vie en orange|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois ducrot|la vie en rouge 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois ducrot|solange 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois ducrot|solange rose vdf 2020|fr|p|??|??|??|2020|13.5|VDF|medio|frutos do mar, saladas|seco
W|francois dulac|2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois dulac|2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois dulac|blanc lieblich 6 x 1|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois dulac|cotes de provence rose|fr|p|??|provence|cotes-de-provence|NV|13.5|??|medio|frutos do mar, saladas|seco
W|francois dulac|cotes de provence rose 125|fr|p|??|provence|cotes-de-provence|NV|13.5|??|medio|frutos do mar, saladas|seco
W|francois dulac|rose igp trocken 6 x 1|fr|p|??|??|??|NV|13.5|IGP|medio|frutos do mar, saladas|seco
W|francois dulac|rouge igp trocken 6 x 1|fr|r|??|??|??|NV|13.5|IGP|encorpado|carne vermelha, queijo|seco
W|francois dumas|dumas|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois dumas|condrieu 2021|fr|w|viognier|rhone|condrieu|2021|12.5|??|medio|peixe, frutos do mar|seco
W|francois dumas|gamay 2022|fr|r|gamay|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois dumas|la vigne de jean 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois dumaswasyuamphora|ruby 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois dumaswasyufermented|on skin in amphora 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois ecot|linsolent six cepages 2018 france|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois et antoine jobard|2018 meursault les tillets|fr|w|chardonnay|bourgogne|meursault|2018|12.5|??|medio|peixe, frutos do mar|seco
W|francois et antoine jobard|pommard epenots 2019|fr|r|??|bourgogne|pommard|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois et denis clair|saintaubin 1er cru|fr|r|??|??|??|NV|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois et jean marie|cherrier sancerre les chailloux 2024|fr|w|sauvignon blanc|loire|sancerre|2024|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|2022 vouvray sec|fr|w|chenin blanc|loire|vouvray|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|depuis vouvray sec 2022|fr|w|chenin blanc|loire|vouvray|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|sec vouvray|fr|w|chenin blanc|loire|vouvray|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|silex noir demisec|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|demi-sec
