W|fratelli bortolin|bortolin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli bortolin|prosecco valdobbiadene brut|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli branca|antica formula|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli branca|branca menta liqueur 60 proof|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli branca|branca menta liqueur 60 proof|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=4
W|fratelli branca|menta liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli broccardo|il giopi langhe nebbiolo doc 2020|it|r|nebbiolo|??|??|2020|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratelli brovia|barolo brea vigna camia|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brovia|barolo camia|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brovia|barolo garblet sue|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brovia|barolo rocche di brovia|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brovia|barolo rocche di castiglione|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brovia|barolo unio|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brovia|barolo villero|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brovia|dolcetto dalba|fr|r|dolcetto|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brovia|vignavillej dolcetto dalba doc 2022|fr|r|dolcetto|??|??|2022|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratelli brunello|distillatori alla ruta|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brunello|distillatori amarone|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brunello|distillatori invecchiata|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brunello|distillatori uva uva|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brunello|distillatori vicentina|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli brut|brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli cab|franc shiraz wine|fr|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cabernet|franc shiraz red wine|fr|r|cabernet franc, shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cabernet|franc shiraz wine|fr|r|cabernet franc, shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cabernet|sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cabernet|sauvignon red wine|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cabernet|sauvignon wine|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cabsau|wine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cavallotto|barolo riserva bricco boschis vigna san giuseppe 2001|it|r|??|??|??|2001|13.5|RISERVA|encorpado|carne vermelha, queijo|seco
W|fratelli chardonnay|chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli chardonnay|white wine|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli chardonnay|wine|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli chardonnay|wine|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=33
W|fratelli chenin|blanc|fr|w|chenin blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli chenin|blanc white wine|fr|w|chenin blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli chenin|blanc wine|fr|w|chenin blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli chenin|blanc wine|fr|w|chenin blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=37
W|fratelli cigliuti|langhe nebbiolo 2023|it|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli classic|chenin blanc white wine|fr|w|chenin blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli classic|chenin wine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli classic|merlot|fr|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli classic|merlot red wine|fr|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli classic|merlot wine|fr|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli classic|merlot wine|fr|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=44
W|fratelli classic|shiraz|fr|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli classic|shiraz|fr|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=46
W|fratelli classic|shiraz wine|fr|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli classic|shiraz wine|fr|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=48
W|fratelli collavo|collfondo prosecco col fondo 2022 veneto italy|it|s|??|??|??|2022|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli collavo|prosecco col fondo|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli comino|comino|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cosmo|doc prosecco extra dry|it|s|??|??|??|NV|12|DOC|medio|aperitivos, frutos do mar|brut
W|fratelli cosmo|prosecco|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli cosmo|prosecco|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=54
W|fratelli cosmo|prosecco doc champagne|it|s|??|champagne|champagne|NV|12|DOC|medio|aperitivos, frutos do mar|brut
W|fratelli cosmo|prosecco extra dry w gift box doc italy|it|s|??|??|??|NV|12|DOC|medio|aperitivos, frutos do mar|brut
W|fratelli cosmo|prosecco italy glera nv|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli cosmo|prosecco rose|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli cosmo|prosecco rose|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=59
W|fratelli cozza|2021 rosso del barco doro primitivo di manduria|fr|r|primitivo|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|bruffato|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|bruffato di famiglia venezia giulia igt|fr|r|??|??|??|NV|13.5|IGT|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|dogana rossa 12750|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|dogana rossa 12750 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
