W|dalamara naoussa|naoussa|gr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara naoussa|2016|gr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara naoussa|2020|gr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara naoussa|2020|gr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco|=3
W|dalamara naoussa|2023|gr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara naoussa|paliokalias 2021|gr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara naoussa|xinomavro|gr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara naoussa|xinomavro 2022|gr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara naoussa|xinomvaro 2023|gr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara paliokalias|paliokalias|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara paliokalias|paliokalias|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=10
W|dalamara paliokalias|2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara paliokalias|2013|fr|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara paliokalias|2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara paliokalias|2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara paliokalias|2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara paliokalias|2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara paliokalias|4 2017 2019 2020 2021|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara vieilles|vignes 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamara xinomavro|naoussa 2023|gr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamel cabernet|sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamel carmenere|reserva lapostolle|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalamel chardonnay|chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalamel merlot|merlot|fr|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
