W|dalva|10 ars tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|10 years dry white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva|10 years dry white port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva|10 years old dry white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva|10 years tawny port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|100 anos porto conjunto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva|1982 colheita porto|pt|f|??|??|??|1982|20|??|encorpado|sobremesas, queijos|doce
W|dalva|1985 colheita port|fr|r|??|??|??|1985|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 anos dry white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva|20 anos dry white port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva|20 anos porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva|20 anos porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=12
W|dalva|20 anos tawny porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva|20 ar tawny|ar|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 ar tawny portugal portvin 20|ar|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 ars|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 ars 12 fl|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 ars tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 ars tawny portvin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 ars tawny portvin uovertruffen smagsoplevelse|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
