W|damarino|damarino|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damarino|2023 donnafugata|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damarino|2024 sicilia bianco doc donnafugata|it|w|??|??|??|2024|12.5|DOC|medio|peixe, frutos do mar|seco
W|damarino ansonica|sicilia doc white|it|w|??|??|??|NV|12.5|DOC|medio|peixe, frutos do mar|seco
W|damarino donnafugata|donnafugata|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damarino donnafugata|donnafugata|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=5
W|damarino sicilia|bianco doc donnafugata|it|w|??|??|??|NV|12.5|DOC|medio|peixe, frutos do mar|seco
W|damarino sicilia|doc bianco|it|w|??|??|??|NV|12.5|DOC|medio|peixe, frutos do mar|seco
W|damarino sicilia|doc bianco 2024|it|w|??|??|??|2024|12.5|DOC|medio|peixe, frutos do mar|seco
W|damaris blouse|blouse|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damars wijnshop|wijnshop|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damas|2022 maud adnot|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasc starterst|fra samura|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascena|damascena|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene|2022 chenin stellenbosch|za|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene|2023 syrah stellenbosch|za|r|syrah|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene|2023 syrah swartland|za|r|syrah|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene cabernet|franc stellenbosch 2023|za|r|cabernet franc|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene cabernet|sauvignon stellenbosch 2021|za|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene cabernet|sauvignon stellenbosch 2022|za|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene cederberg|syrah 2021|fr|r|syrah|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene ceres|plateau syrah 2024|fr|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene ceres|plateau syrah 2024|fr|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco|=22
W|damascene chenin|blanc|fr|w|chenin blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damascene chenin|blanc 2022|fr|w|chenin blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|damascene chenin|blanc stellenbosch 2022|za|w|chenin blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|damascene chenin|blanc swartland 2022|za|w|chenin blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|damascene franschhoek|semillon|fr|w|semillon|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damascene franschhoek|semillon 2024|fr|w|semillon|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|damascene old|bush vines semillon|fr|w|semillon|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damascene plateau|syrah 2022|fr|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene semillon|2022|fr|w|semillon|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|damascene semillon|franschhoek 24|fr|w|semillon|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damascene stellenbosch|cabernet franc|za|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|cabernet franc 2019|za|r|cabernet franc|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|cabernet franc 2022|za|r|cabernet franc|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|cabernet franc 2023|za|r|cabernet franc|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|cabernet franc 2023|za|r|cabernet franc|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=37
W|damascene stellenbosch|cabernet franc 2024|za|r|cabernet franc|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|cabernet franc 2024|za|r|cabernet franc|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco|=39
