W|damoiseau arrange|mangue passion 30|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau arrange|mangue passion 30 c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau arrange|pineapple vanilla 30 c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau arrange|pink guava 30 c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau arranges|pineapple vanilla|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau blanc|lexperience 69|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damoiseau cane|rhum 6 case|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau coffret|distillateur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau coffret|la cuvee du distillateur 3 rhums guadeloupe|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau concordia|4y rhum 40|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau creme|au rhum vieux 0 18|au|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau creme|de rhum|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau cuvee|subprime xo 8 ans 2008 479|fr|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau experience|69 69|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau gold|rhum 40|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau gold|rhum 40|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=15
W|damoiseau guadeloupe|blanc|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damoiseau gwada|mule can 125 c24|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau likier|punch passion 18 0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
