W|dark silkie|cask strength 645|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark silkie|gift pack|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark silkie|gift set|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark silkie|moscatel cask strength|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark sky|90|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark sky|90 0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark sky|bryghuset mn|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark sky|bryghuset mn|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=7
W|dark smoke|stem white wine glasses set of two|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dark spicy|spicy|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark spot|treatment oil|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark star|2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark star|2018 case of 6|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark star|2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark star|2023 case of 6|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark star|2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark star|2024 case of 6|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark star|hophead|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark star|sunburst|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark stone|xqni br38|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark stones|xqni br43|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark stormish|box|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark stormy|9 keg original tender|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark super|fruits 90gr|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark tales|by shirley jackson|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark torrent|torrent|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark truffle|265g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark truffle|slow crafted lakrids by bulow|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark truffle|with hazelnut dolce aveja|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark truffles|55|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark turkey|pastrami 110g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark turkey|pastrami 142g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark unicorn|te puerh|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark uta|2018 rot trocken qvevriwein tchotiashvili|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark velvet|te puerh|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark verse|1 el cazador|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark vibes|vibes|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark wheat|malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark wheat|malt weyermann|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark wood|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark wood|merlot|fr|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark wood|nobis q kelenc|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark wood|pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark wooden|guitar pick with dublin harp design|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark wooden|guitar pick with eire shamrock design|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dark wooden|guitar pick with ireland celtic knot design|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkcave|darkcave|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkest power|zrnkova kava espresso 100 robusta 1000g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkheart mild|mild|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkhorse cab|sauv|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkhorse red|blend|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkhorse red|blend|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=51
W|darkishphobia|darkishphobia|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness|2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness 5yo|rye|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness|8|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness|8 ans single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness|8 year old 8 yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness|8 year old sherry cask finish|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|darkness|8 year old sherry cask finish|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=59
W|darkness|8 years old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness|8 yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness 8yo|sherry cask|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|darkness 8yo|sherry cask|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=63
W|darkness 8yo|was|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness aged|8 years single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness aged|8 years single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=66
W|darkness ardmore|19 year old pedro ximenez|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness aultmore|13 year old oloroso|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|darkness aultmore|single malt atom 572|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness benriach|7 year old moscatel cask finish|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness benrinnes|13 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness benrinnes|17 year old pedro ximenez|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness bowmore|18yo 549|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness campbeltown|5 year old moscatel cask finish|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness caol|ila 12 year old oloroso cask finish|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|darkness caol|ila 14 year old oloroso cask finish|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|darkness caol|ila 14yo 555|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness caol|ila 17yo 2022 466|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness craigellachie|11 year old pedro ximenez|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness craigellachie|12yo 62|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness glenrothes|12yo 566|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness glenrothes|12yo oloroso cask finish|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|darkness glenrothes|14 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness glenrothes|14yo 596|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness glenrothes|20 year old the w club exclusive|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness inchfad|13yo pedro ximenez sherry cask finish 499|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|darkness islay|13yo oloroso sherry finish 577|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|darkness ledaig|13yo darkness 513|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness linkwood|14 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness linkwood|14yo 56|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|darkness mannochmore|12 year old palo cortado|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|darkness removal|cream neck and underarm|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
