W|finca las|moras malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=1
W|finca las|moras malbec 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras malbec 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras malbec 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras malbec 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras malbec 2024 12 bottles|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras malbec barrel select|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras malbec cabernet syrah y cabernet blanc|??|w|??|??|??|NV|12.5|??|encorpado|peixes; frutos do mar; saladas|seco
W|finca las|moras malbec red dry wine|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras malbec screwcap 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras malbec x 6|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca las|moras merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=13
W|finca las|moras merlot dada no2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca las|moras mora negra 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca las|moras organico chardonnay 2022 12 bottles|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca las|moras organico malbec 2023 12 bottles|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras paz malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras paz malbec 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras pedernal malbec 2011|??|r|??|??|??|2011|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras pinot grigio|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca las|moras reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca las|moras reserva cabernet sauvignon syrah|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=25
W|finca las|moras reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=25
W|finca las|moras reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=25
W|finca las|moras reserva malbec 2021|??|r|??|??|??|2021|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras reserva malbec 2022|??|r|??|??|??|2022|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras reserva malbec 2022 12 bottles|??|r|??|??|??|2022|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca las|moras reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=32
W|finca las|moras rosado dulce|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca las|moras rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca las|moras sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca las|moras sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=36
W|finca las|moras sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=36
W|finca las|moras sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=36
W|finca las|moras sauvignon blanc 2023|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca las|moras sauvignon blanc x 6|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca las|moras syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=42
W|finca las|moras syrah 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|moras syrah rose|??|p|??|??|??|NV|12.5|??|encorpado|saladas; aves; queijos leves|seco
W|finca las|moras syrah rose|??|p|??|??|??|NV|12.5|??|encorpado|saladas; aves; queijos leves|seco|=45
W|finca las|moras vino blanco chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca las|navas|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha; queijo curado; massas|seco
W|finca las|nubes cabernet malbec 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|nubes malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|nubes rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca las|nubes rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca las|nubes tannat 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca las|nubes torrontes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca las|nubes torrontes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=54
W|finca las|palmas chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca las|payas gueisha guarani 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca las|payas la abuela no esta orguliosa 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
