W|finca traversa|cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca traversa|cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca traversa|cabernet sauvignon 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca traversa|merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca traversa|merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=4
W|finca traversa|merlot 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca traversa|merlot 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca traversa|merlot 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca traversa|merlot 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca traversa|reserva blend|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca traversa|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca traversa|sauvignon blanc 2021|??|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca traversa|sauvignon blanc 2021|??|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco|=12
W|finca traversa|sauvignon blanc 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca traversa|sauvignon blanc 2023|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca traversa|sauvignon blanc 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca traversa|sauvignon blanc uruguay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca traversa|sauvingnon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca traversa|tannat 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca traversa|tannat 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca traversa|tannat 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tres|pedras albarino|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca tresolmos|verdejo classic|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca tresolmos|verdejo lias|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca valcendon|coleccion 7 parcelas doca rioja crianza 2018|es|r|??|??|??|2018|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca valcendon|coleccion 7 parcelas doca rioja crianza 2018|es|r|??|??|??|2018|13.5|doca|medio|carne vermelha; queijo curado; massas|seco|=25
W|finca valcendon|coleccion 7 parcelas doca rioja graciano 2020|es|r|??|??|??|2020|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca valcendon|coleccion 7 parcelas doca rioja graciano 2020|es|r|??|??|??|2020|13.5|doca|medio|carne vermelha; queijo curado; massas|seco|=27
W|finca valdeguinea|blanco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca valdeguinea|blanco joven 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca valdeguinea|branco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca valdeguinea|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca valdeguinea|crianza 2017|??|r|??|??|??|2017|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca valdeguinea|etiqueta negra 2015 15 meses|??|r|??|??|??|2015|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdeguinea|etiqueta negra edicion limitada 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdeguinea|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdeguinea|tinto joven 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdehermoso|ribera del duero do 2024|es|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdelagunde|cuvee especial verdejo 2019|??|w|??|??|??|2019|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca valdelagunde|sauvignon blanc 2019|??|w|??|??|??|2019|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca valdelagunde|verdejo cuvee especial rueda 985|es|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca valdelroble|valdelroble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdelroble|do ribera del duero bio 2021|es|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
