W|gaja|gaia rey|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|gaia rey|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|rey langhe|it|r|??|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|rey langhe|it|r|??|langhe|langhe|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|rey langhe|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|gaia rey|it|r|??|langhe|langhe|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|gaia rey|it|r|??|langhe|langhe|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco|=6
W|gaia|ritinis nobilis nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|ritinis nobilis retsina nv|gr|w|retsina|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|ritinitis nobilis nemea|gr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|ritinitis nobilis retsina|gr|w|retsina|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|ritinitis nobilis retsina|gr|w|retsina|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=11
W|gaia|ritinitis nobilis retsina|gr|w|retsina|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|ritinitis nobilis retsina nv|gr|w|retsina|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|ritinitis nobilis retsina nv|gr|w|retsina|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=14
W|gaia|ritinitis nobolis retsina|gr|w|retsina|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|ritinitis retsina|gr|w|retsina|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|rose 46h|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaia|s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
