W|gaja|sito moresco|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|gaja|sito moresco|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=4
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=4
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=4
W|gaja|sito moresco langhe rosso dop|it|r|??|langhe|langhe|2021|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|gaja|sito moresco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|gaja|sito moresco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|gaja|sito moresco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|gaja|sito moresco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|gaja|sito moresco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|gaja|sito moresco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|gaja|sito moresco|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|gaja|sito moresco 21|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
