W|galloway|lodge poachers pickle 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
W|galloway|lodge tomato chilli chutney 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gallows|bay fregate rhum 39|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gallows|bay fregate rhum 39|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=6
W|gallows|bay rhum salut 42|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gallows|bay salut rom|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galluccio|doc aglianico conte di galluccio masseria starnali|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gallule|chianti classico gran selezione castellina docg bio|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gallura|canayli vermentino di gallura superiore|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gallura|dolmen nebbiolo igt colli del limbara|??|r|nebbiolo|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gallus|st emilion|??|r|??|??|st emilion|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gallusette|ambree|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gally|assemblage aoc valais jean rene germanier sa vetroz|??|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gally|assemblage aoc valais jean rene germanier sa vetroz|??|r|??|??|??|2023|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|galmesan|18 piece approx 14kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galmesan|madurado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galmesan|piece 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galo|barcelos handcrafted clay rooster fado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galo|barcelos occupations edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galo|barcelos traditional handcrafted aperitivos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galo|barcelos traditional handpainted metal rooster bell|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galo|barcelos traditional handpainted wooden napkin holder rooster|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galo|celta fresco campero tradicional 810 raciones|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galodoro|casa santos lima|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galodoro|red|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galodoro|reserva vinho tinto lisboa|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galodoro|rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galodoro|rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=30
W|galodoro|tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galodoro|tinto casa santos lima lisboa portugal|pt|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galodoro|vinho regional lisboa branco|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galodoro|vinho regional lisboa branco|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=34
W|galodoro|vinho regional lisboa tinto|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galodoro|vinho regional lisboa tinto|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=36
W|galodoro|vinho rose lisboa|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galodoro|vinho rose lisboa|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galodoro|vinho tinto lisboa|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galodoro|vinho tinto lisboa|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|galodoro|vinho verde|pt|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
