W|ganevat|grusse en billat chardonnay|??|w|chardonnay|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|grusse en billat chardonnay|??|w|chardonnay|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|grusse en billat chardonnay|??|w|chardonnay|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|grusse en billat chardonnay|??|w|chardonnay|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|grusse en billat chardonnay|??|w|chardonnay|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|grusse en billat chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|grusse en billat chardonnay|??|w|chardonnay|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco|=4
W|ganevat|jean francois cuvee marguerite|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|jean francois les chalasses vieilles vignes chardonn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|jen veux encore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|jen veux encore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|jen veux encore vdf l14|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat enfant terrible du sud|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat enfant terrible du sud|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=21
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat pinot noir|??|r|pinot noir|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=18
W|ganevat|julien en billat savagnin|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien en billat savagnin|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien pinot noir|??|r|pinot noir|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|julien pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|jura rouge en billat|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|kasse no 2 plein sud madelon jen veux encore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|kasse no 3 le clos madelon jen veux encore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|kopin|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|kopin nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|kopines|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|la colline des dames|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|la colline des dames nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|la combe rotalier cremant|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|ganevat|la croix des batailles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|la croix des batailles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|ganevat|la croix des batailles nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|la cuvee du pepe chardonnay|??|w|chardonnay|??|??|2005|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|la graviere|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|la graviere|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|la graviere chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|la pelerine chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|lailleurs nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|le feu nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|le jaja du fanfan jura france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|le jaja du fred|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|le savient dou|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|lenfant terrible|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|les arces|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|les cedres chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|les cedres chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|les chalasses marnes bleues savagnin|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|les chalasses vieilles vignes|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|les chalasses vieilles vignes|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|ganevat|les chalasses vieilles vignes|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|les chalasses vieilles vignes|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=60
W|ganevat|les chalasses vv chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|les chalasses vv chardonnay|??|w|chardonnay|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|les chalasses vv chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco|=62
W|ganevat|les chalasses vv chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|les chalasses vv poulsard|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|les chamois du paradis chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|les chamois du paradis chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ganevat|les chamois du paradis chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco|=67
W|ganevat|les chonchos|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|les corvees|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|les fortbeau|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|les grand teppes rouge|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|les grands teppes pinot noir|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ganevat|les grands teppes savagnin|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
