W|gardies|flor muscat de rivesaltes aoc france|fr|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gardies|on sen fish|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardina|gardina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardina|gardina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=3
W|gardiners|chilli fudge 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|clotted cream fudge 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|clotted cream fudge tree of christmas 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|glenfarclas fudge 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|guinnes luxury fudge 170g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|of scotland christmas vanilla fudge 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|of scotland country kitchen vanilla fudge tin 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|of scotland english clotted cream fudge tin 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|of scotland vanilla fudge blooms floral tin 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|of scotland vanilla fudge forest tin 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|of scotland vanilla fudge pandas playing tin 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|of scottish fudge tin scottish wildflower vanilla 120g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|of scottish fudge tin thank you vanilla 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardiners|vanilla fudge tin 120g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardini|cioccolatini cuoremio confezione da 18 pezzi 110g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardini|uovo di pasqua tele preziose al latte in tela stampata a mano bottega pascucci 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardner|street bacchuschardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gardo|morris brut sauvignon blanc|??|s|sauvignon blanc|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gardo|morris central otago pinot noir|nz|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardo|morris marlborough organic brut sauvignon blanc|nz|s|sauvignon blanc|??|marlborough|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gardo|morris marlborough organic sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gardo|morris marlborough pinot noir|nz|r|pinot noir|??|marlborough|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardo|morris organic marlborough methode traditionnelle brut nv|nz|s|??|??|marlborough|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gardo|morris organic marlborough methode traditionnelle brut rose nv|nz|s|??|??|marlborough|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gardo|morris organic marlborough rose|nz|p|??|??|marlborough|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gardo|morris reserve central otago pinot noir|nz|r|pinot noir|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardo|morris reserve hawkes bay syrah|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardo|morris reserve organic marlborough chardonnay|nz|w|chardonnay|??|marlborough|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gardo|plastic click pen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardonyi|teahaz rooibos citromfugyomber 20x15gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardspresset|eplemost holsteiner cox 0|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardspresset|eplemost med bringebr 0|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardspresset|eplemost rd aroma 0|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardunha|sul primeiras gotas curtimenta|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardunha|sul primeiras gotas corricao tinto|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardunha|sul castelao primeiras gotas|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardunha|sul primeiras gotas castelao|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardunha|sul primeiras gotas corricao|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardunha|sul primeiras gotas curtimenta branco|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardunha|sul primeiras gotas field mix tinto|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardunha|sul primeiras gotas oxid chestnut branco|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardunha|sul primeiras gotas pet nat branco|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardunha|sul x treat wines i think the sky might actually seriously be falling|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardvin|onoff power black|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardvin|onoff power latelier du vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardvin|onoff power signature|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardvin|onoff pump black|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gardvin|onoff sealer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gare|de roubaix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
