W|garzon|pinot noir rose reserva|??|p|pinot noir|??|??|2024|12.5|reserva|leve|aperitivos, frutos do mar, saladas|seco
W|garzon|pinot noir rose uruguay|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garzon|reserva albarinho|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|garzon|reserva albarino|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|garzon|reserva albarino|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=4
W|garzon|reserva albarino|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=4
W|garzon|reserva albarino|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=4
W|garzon|reserva albarino|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=4
W|garzon|reserva albarino|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=4
W|garzon|reserva albarino 125 abv|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|garzon|reserva albarino|??|w|??|??|??|2021|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|garzon|reserva albarino|??|w|??|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|garzon|reserva albarino|??|w|??|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=12
W|garzon|reserva albarino|??|w|??|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=12
W|garzon|reserva albarino|??|w|??|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=12
W|garzon|reserva albarino maldonado|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|garzon|reserva albarino x|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|garzon|reserva cab franc|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|garzon|reserva cabernet franc|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|garzon|reserva cabernet franc|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=19
W|garzon|reserva cabernet franc|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=19
W|garzon|reserva cabernet franc|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=19
W|garzon|reserva cabernet franc|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=19
W|garzon|reserva cabernet franc|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=19
W|garzon|reserva cabernet franc|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=19
W|garzon|reserva cabernet franc|??|r|cabernet franc|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|garzon|reserva cabernet franc|??|r|cabernet franc|??|??|2023|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|garzon|reserva cabernet franc x|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|garzon|reserva marselan|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|garzon|reserva marselan|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|garzon|reserva marselan|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|garzon|reserva marselan|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|garzon|reserva marselan|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|garzon|reserva marselan|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|garzon|reserva marselan|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|garzon|reserva marselan|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
