W|gattinara|nervi conterno|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|nervi docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|nervi docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=2
W|gattinara|nervi docg|??|r|??|??|??|1964|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|nervi docg|??|r|??|??|??|1967|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|nervi docg|??|r|??|??|??|1987|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|nervi luigi|??|r|??|??|??|1957|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|nervi luigi docg|??|r|??|??|??|1970|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|nervi luigi riserva doc|??|r|??|??|??|1974|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|nervi riserva doc|??|r|??|??|??|1979|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|nerviconterno italie piemonte rood|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|nerviconterno italie piemonte rood|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=11
W|gattinara|nerviconterno italie piemonte rood|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=11
W|gattinara|nerviconterno italie piemonte rood|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|nerviconterno vigna molsino|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|osso san grato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|osso san grato antoniolo|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|osso san grato|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|osso san grato antoniolo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|patriarca vittorio|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|patriarca vittorio|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|gattinara|patriarca vittorio|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|gattinara|petterino|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|petterino|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|gattinara|petterino|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|gattinara|pietro paride iaretti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|pietro paride iaretti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=26
W|gattinara|riserva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=28
W|gattinara|riserva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=28
W|gattinara|riserva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=28
W|gattinara|riserva|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva loose cap|??|r|??|??|??|1962|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva los keps|??|r|??|??|??|1962|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva losse dop|??|r|??|??|??|1962|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva gattinara docg|??|r|??|??|??|2006|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva marco petterino|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva antoniolo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva antoniolo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=38
W|gattinara|riserva antoniolo|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva del titolare doc|??|r|??|??|??|1964|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
