W|gaveske|med 2 udvalgte alkoholfrie speciall|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 20 fine paskeg xocolatl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 25 minipaskeg med fyld xocolatl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 3 flasker likr fra liquoristerie de provence 3|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 3 flasker likr fra liquoristerie de provence 3|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=4
W|gaveske|med 3 flasker vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 3 speciall alkoholfrie ltilbud|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 4 marcinpang xocolatl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 4 marcinpang xocolatl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=8
W|gaveske|med 4 paskeg xocolatl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 4 slags fisk i koldpresset rapsolie fangst|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 4 slags fisk i koldpresset rapsolie fangst|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=11
W|gaveske|med 5 fyldte paskeg summerbird|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 5 fyldte paskeg summerbird|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|gaveske|med 6 flasker vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 8 fyldte chokolader elmelund|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 8 fyldte chokolader elmelund|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=16
W|gaveske|med 8 fyldte paskeg summerbird|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 8 fyldte paskeg summerbird|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=18
W|gaveske|med 9 fyldte paskeg summerbird|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med 9 fyldte paskeg summerbird|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|gaveske|med 9 minipaskeg med fyld xocolatl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med blomsterfr til en lrer pdagog dagplejemor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med blomsterfr til en lrer pdagog dagplejemor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|gaveske|med chokoladehjerter fra xocolatl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaveske|med chokoladehjerter fra xocolatl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=25
W|gaveske|med dos maderas caribbean 53 55 ar 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
