W|geografico|pavonero bianco nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|geografico|pavonero primitivo|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|pavonero primitivo|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=2
W|geografico|pavonero primitivo|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=2
W|geografico|pavonero primitivo|??|r|primitivo|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|pavonero primitivo|??|r|primitivo|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|pavonero primitivo di manduria|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|pavonero primitivo di manduria|??|r|primitivo|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|pavonero rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|pavonero rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|geografico|pavonero rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|geografico|pavonero rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|geografico|pavonero rosso italia|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|pavonero rosso nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|primitivo di manduria pavonero|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|primitivo di manduria pavonero|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=15
W|geografico|primitivo di manduria pavonero|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=15
W|geografico|pulleraia maremma toscana|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|tricerchi brunello di montalcino|it|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|vernaccia di san gimignano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
