W|georgia|tbilvino tsinandali rkatsiteli mtsvane|ge|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georgia|tsinandali white dry|ge|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georgiades|retsina|gr|w|retsina|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georgiadis|canteen vosporos canteen|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georgiadis|canteen vosporos canteen|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=4
W|georgiadis|canteen vosporos canteen 21|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georgian|adjika mix|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georgian|ambari akasheni red semisweet wine|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|georgian|ambari pirosmani red semidry wine|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georgian|amber qvevri wine set|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georgian|amber wine tasting set no1|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georgian|beef kari dumplings 400g|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georgian|cabernet special|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georgian|chestnut linden honey 350 g|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georgian|distillery collection|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georgian|door decoration|ge|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
