W|gevrey|chambertin domaine robert philippe|fr|r|??|bourgogne|gevrey chambertin|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine robert philippe|fr|r|??|bourgogne|gevrey chambertin|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|gevrey|chambertin 5 terroirs domaine denis mortet|fr|r|??|bourgogne|gevrey chambertin|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin 675 domaine tawse|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin antonin rodet|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aoc domaine joseph drouhin|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aoc|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aoc domaine alain jeanniard|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aoc bourgogne|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aoc domaine dardhuy|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aoc francois parent 13 vol|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aoc laboureroi rotwein wein trocken frankreich|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aoc laboureroi rotwein wein trocken frankreich|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco|=12
W|gevrey|chambertin aoc laboureroi rotwein wein trocken frankreich 6|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aoc terroir du domaine domaine gerard seguin|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aop georges lignier|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aop jeanluc eric burguet cuvee mes favorites vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin ardhuy 23|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin armand rousseau|fr|r|??|bourgogne|gevrey chambertin|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin armand rousseau|fr|r|??|bourgogne|gevrey chambertin|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aux combottes cru domaine des beaumont|fr|r|??|bourgogne|gevrey chambertin|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aux combotts domaine dujac|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aux corvees domaine rebourseau henri|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aux corvees domaine rebourseau henri|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|gevrey|chambertin aux corvees vieilles vignes domaine clemancey|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin aux corvees vieilles vignes domaine clemancey|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=25
W|gevrey|chambertin aux etelois 675 domaine tawse|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin bel air premier cru|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin bel air premier cru|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=28
W|gevrey|chambertin bel air premier cru|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=28
W|gevrey|chambertin bel air premier cru|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=28
W|gevrey|chambertin bel air premier cru|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=28
W|gevrey|chambertin bel air premier cru|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin bel air premier cru|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
