W|gevreychambertin|premier cru champeaux tres vieilles vignes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru cherbaudes rouge maison edouard delaunay|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru domaine bachelet les corbeaux|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru fonteny maison camille giroud|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru lavautsaintjacques domaine claire et stephane follinarbelet|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru lavauxsaintjacques domaine armand rousseau pere fils|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru lavauxsaintjacques domaine armand rousseau pere fils|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru le fonteny domaine serafin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru les cazetiers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru les cherbaudes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru les combottes domaine dujac|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru les corbeaux domaine serafin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru perriere domaine des perdrix|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru petite chapelle vieilles vignes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premier cru vieilles vignes domaine prieure roch|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premiere cru cherbaudes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|premiere cru cherbaudes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=16
W|gevreychambertin|pressonnier domaine machard de gramont|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|racine du temps tres vieilles vignes domaine rene bouvier|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|racine du temps tres vieilles vignes domaine rene bouvier|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|racine du temps tres vieilles vignes domaine rene bouvier domaine rene bouvier|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|racine du temps tres vieilles vignes domaine rene bouvier|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|racine du temps tres vieilles vignes domaine rene bouvier|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|racine du temps tres vieilles vignes domaine rene bouvier|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|racine du temps tres vieilles vignes domaine rene bouvier|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|racine du temps tres vieilles vignes domaine rene bouvier|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|racines croisees henri pion rouge|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|regnard valeria naudin|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|rene bouvier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|robert pain|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|robert pain|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=30
W|gevreychambertin|robert pain|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=30
W|gevreychambertin|robert pain|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=30
W|gevreychambertin|rouge maison edouard delaunay|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|rouge david duband|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|rouge maison edouard delaunay|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|rouge maison edouard delaunay|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|rouge|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|rouge maison edouard delaunay|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|rouge les crais domaine huguenot pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|seuvrees domaine michel magnien|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|symphonie|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|symphonie|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=42
W|gevreychambertin|symphonie|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|terres blanches|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gevreychambertin|terres blanches maison philippe charlopin|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gevreychambertin|vallet freres 13|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieille vigne domaine fourrier|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieille vigne domaine fourrier|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieille vigne|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieille vigne domaine fourrier|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieille vigne domaine fourrier|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=51
W|gevreychambertin|vieilles vigne domaine faiveley|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=54
W|gevreychambertin|vieilles vignes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=54
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine rossignoltrapet|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine harmandgeoffroy|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine rossignoltrapet|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine harmandgeoffroy|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine geantetpansiot|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine perrotminot|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine rossignoltrapet|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=75
W|gevreychambertin|vieilles vignes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=75
W|gevreychambertin|vieilles vignes domaine rossignoltrapet|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes philippe rossignol gevreychambertin bourgogne frankrig|fr|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|gevreychambertin|vieilles vignes|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|gevreychambertin|vieilles vignes domaine rossignoltrapet|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes domaine serafin pere fils|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes maison roche de bellene|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevreychambertin|vieilles vignes|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=87
