W|ghost|block cabernet sauvignon single vineyard napa valley|us|r|cabernet sauvignon|california|napa valley|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block cabernet sauvignon single vineyard yountville|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block cabernet sauvignon single yountville|??|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block cabernet sauvignon single yountville|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block cabernet sauvignon single yountville|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block cabernet sauvignon single yountville|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block cabernet sauvignon single yountville|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block cabernet sauvignon single yountville|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block cabernet sauvignon yountville|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=10
W|ghost|block estate cabernet sauvignon 15liter|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|ghost|block estate cabernet sauvignon oakville|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block estate cabernet sauvignon oakville|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=15
W|ghost|block morgaen lee sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|block morgaenlee sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|block morgaenlee sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|block napa cabernet|us|r|??|california|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block oakville estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block oakville estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block oakville estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=22
W|ghost|block oakville estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=22
W|ghost|block oakville napa cabernet|us|r|??|california|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block pelissa vineyard zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block pelissa vineyard zinfandel|??|r|zinfandel|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block pelissa vineyard zinfandel|??|r|zinfandel|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=27
W|ghost|block pelissa vineyard zinfandel|??|r|zinfandel|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=27
W|ghost|block pelissa vineyard zinfandel|??|r|zinfandel|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=27
W|ghost|block pelissa zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block pelissa zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=31
W|ghost|block sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|block sauvignon blanc morgaen lee yountville|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|block sauvignon blanc morganlee vineyard|??|w|sauvignon blanc|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|block single vineyard cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block single vineyard cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block single vineyard cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block square nail cabernet sauvignon napa valley ca|us|r|cabernet sauvignon|california|napa valley|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block vineyard cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=41
W|ghost|block zinfandel 6 case|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block zinfandel 6 cs|??|r|zinfandel|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|block zinfandel pelissa vineyard|??|r|zinfandel|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|busters val de combres naturvin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|cherry limeade|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner syrah|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner the bowline|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
