W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|giacomo|conterno barolo monfortino riserva docg|it|r|??|barolo|barolo|2013|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino stravecchio|it|r|??|barolo|barolo|1943|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino stravecchio riserva|it|r|??|barolo|barolo|1941|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino stravecchio riserva|it|r|??|barolo|barolo|1943|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino stravecchio riserva|it|r|??|barolo|barolo|1945|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva|it|r|??|barolo|barolo|1952|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva|it|r|??|barolo|barolo|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva|it|r|??|barolo|barolo|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino nyhed|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino eksklusiv vin|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva docg italy|it|r|??|barolo|barolo|1964|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva docg italy|it|r|??|barolo|barolo|1964|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=18
W|giacomo|conterno barolo riserva docg monfortino|it|r|??|barolo|barolo|2005|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=21
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=21
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=21
W|giacomo|conterno barolo riserva monfortino slightly soiled label|it|r|??|barolo|barolo|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=31
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=33
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=33
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=33
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=33
W|giacomo|conterno barolo riserva monfortino doppia cassa|it|r|??|barolo|barolo|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|giacomo|conterno barolo riserva monfortino nicked label|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=43
W|giacomo|conterno barolo riserva monfortino doppia cassa|it|r|??|barolo|barolo|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=46
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=46
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=46
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=50
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=50
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=59
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=59
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=59
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=59
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=16
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=16
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=16
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=67
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=67
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=67
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=67
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=67
W|giacomo|conterno barolo riserva monfortino cassa da 3 bottiglie|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=78
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=78
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=78
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=78
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|giacomo|conterno barolo riserva monfortino docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino doppio|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino doppio|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=92
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|giacomo|conterno barolo riserva monfortino preorder|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo vigna arione|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo vigna francia|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo vigna francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo vigna francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo vigna francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo vigna francia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo vigna francia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|giacomo|conterno barolo vigna francia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|giacomo|conterno bicchiere sensory|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno bicchiere symphony|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cascina francia barolo|it|r|??|barolo|barolo|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cascina francia barolo|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cascina francia barolo|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cascina francia dolcetto dalba 1mags|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giacomo|conterno cerretta barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barbera dalba|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barbera dalba|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
