X
W|gigantisk|skogsscorpion akta fjarilsexemplar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigantisk|torshammare brons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigantones|vinho branco em lata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigantones|vinho rose em lata|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gigantones|vinho verde branco lata|pt|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigantones|vinho verde branco lata|pt|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=6
W|gigantones|vinho verde branco lata|pt|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=6
W|gigantones|vinho verde rose lata|pt|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gigaro|rose|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gigaton|2 lp|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigault|cuvee viva cote de blaye|fr|r|??|bordeaux|cote de blaye|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigetto|gigetto|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
X
X
W|giggle|guard|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
W|giggles|yum earth 40gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigglewater|prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gigi|gigi|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigi|bertotto gattinara|??|r|??|??|??|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigi|bianco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gigi|bianco barbaresco ovello docg|it|w|??|barbaresco|barbaresco|2007|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|gigi|bianco barbaresco ovello docg|it|w|??|barbaresco|barbaresco|2010|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|gigi|bianco barbaresco pora docg|it|w|??|barbaresco|barbaresco|2008|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|gigi|bianco barbaresco pora docg 1|it|w|??|barbaresco|barbaresco|2009|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|gigi|bianco barbera d alba doc|??|w|barbera|??|??|2010|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gigi|bianco barbera d alba doc|??|w|barbera|??|??|2011|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gigi|bianco langhe nebbiolo doc|it|w|nebbiolo|langhe|langhe|2010|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gigi|bianco trebbiano toscana|it|w|??|tuscany|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
W|gigi|mavric|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigi|rosato|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gigi|rosato toscana|it|p|??|tuscany|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gigi|rosso arione barolo|it|r|??|barolo|barolo|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigi|rosso arione barolo|it|r|??|barolo|barolo|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigi|rosso arione barolo riserva|it|r|??|barolo|barolo|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigi|rosso arione barolo riserva|it|r|??|barolo|barolo|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigi|rosso arione riserva dellulivo barolo|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigi|rosso barbaresco|it|r|??|barbaresco|barbaresco|1979|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gigi|rosso barbaresco|it|r|??|barbaresco|barbaresco|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
