W|golan heights winery|gilgal cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|cabernet sauvignon kosher|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|cabernet sauvignon kosher red wine|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|cabernet sauvignon kosher red wine|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=3
W|gilgal|cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gilgal|cabernetmerlot kosher red wine|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|cabernetmerlot kosher red wine|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=7
W|gilgal|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgal|chardonnay 21|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgal|chardonnay golan heights|il|w|chardonnay|galilee|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgal|galilee cabernet sauvignon|il|r|cabernet sauvignon|galilee|galilee|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|galilee chardonnay|il|w|chardonnay|galilee|galilee|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgal|galilee sauvignon blanc|il|w|sauvignon blanc|galilee|galilee|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan heights winery|gilgal syrah|il|r|syrah|galilee|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=16
W|gilgal|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=16
W|gilgal|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=16
W|gilgal|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=16
W|gilgal|merlot|??|r|merlot|??|??|1920|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|pinot noir 18|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|pinot noir golan heights israel|il|r|pinot noir|galilee|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|red blend|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|red blend 23|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
