W|giochessa|giochessa|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giochessa|doc bolgheri le vigne di silvia|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gioco|di colori classic red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioco|di colori spritz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioco|di colori tropical mango|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioco|di colori tropical passion fruit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioco|di vino calmo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioco|di vino unfiltered vino blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gioco|di vino unfiltered vino blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=8
W|gioco|di vino vispo vino frizzante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giocomo|conterno barberesco|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giocomo|conterno barolo cascina francia|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giocondo|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giocondo|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
S
W|giocondocabernet|sauvignon scatola|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giocosita|pinot bianco rubicone igp italy|it|w|??|??|??|2023|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|giocosita|rose rubicone igp italy|it|p|??|??|??|2023|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|giocoso|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giocoso|kologisk olivenolie med fennikel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giocoso|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giocoso|vibes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|alberelli carriante sicilia blanc|it|w|??|sicily|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giodo|alberelli carricante sicilia blanc|it|w|??|sicily|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giodo|alberelli di giodo|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|alberelli di giodo|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|alberelli di giodo|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|giodo|alberelli di giodo|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|giodo|alberelli di giodo|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|giodo|alberelli di giodo carricante sicilia|it|r|??|sicily|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|alberelli di giodo carricante sicilia|it|r|??|sicily|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|alberelli di giodo nerello mascalese sicilia doc|it|r|??|sicily|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|alberelli di giodo sicilia doc|it|r|??|sicily|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|alberelli di giodo sicilia doc bianco|it|w|??|sicily|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giodo|alberelli nerello mascalese|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|alberelli nerello mascalese|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunelllo di montalcino|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunelllo di montalcino|it|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=42
W|giodo|brunello di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=42
W|giodo|brunello di montalcino|it|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino legendarisk vin tilbud|it|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino legendarisk vin tilbud|it|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=24
W|giodo|brunello di montalcino|it|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=24
W|giodo|brunello di montalcino legendarisk vin|it|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=52
W|giodo|brunello di montalcino|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=52
W|giodo|brunello di montalcino|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=52
