W|giovanni|montisci cannonau barrosu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau barrosu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|giovanni|montisci cannonau barrosu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|giovanni|montisci cannonau di sardegna barrosu|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau di sardegna barrosu|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=4
W|giovanni|montisci cannonau di sardegna barrosu|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau di sardegna barrosu case only|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau di sardegna barrosu riserva case only|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau di sardegna doc barrosu|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau di sardegna doc barrosu|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau di sardegna doc barrosu|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau di sardegna doc barrosu|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau di sardegna doc riserva franzisca|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau di sardegna doc riserva franzisca|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau riserva franzisca|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci cannonau riserva franzisca|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=15
W|giovanni|montisci cannonau riserva franzisca|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=15
W|giovanni|montisci modestu|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci modestu 999|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci modestu moscato|??|r|moscato|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci modestu vino bianco case only|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovanni|montisci riserva franzisca|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci rosato|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giovanni|montisci rosato barrosu|??|p|??|??|??|2018|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giovanni|montisci rosato barrosu|??|p|??|??|??|2018|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=24
W|giovanni|montisci rosato barrosu|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giovanni|montisci vino bianco modestu|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovanni|montisci vino rosso barrolu|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci vino rosso barrolu nebbiolo sardinia|??|r|nebbiolo|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|montisci vino rosso juan|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|negro spumante roero arneis docg dosage zero negro|??|s|??|??|??|2017|12|docg|leve|aperitivos, frutos do mar, canapes|seco
W|giovanni|neri brunello di montalcino|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|neri rosso di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|neri rosso di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|neri rosso di montalcino doc 294 z|it|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|perna spaghetti di semola all antica italien 1 x 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|perna spaghetti di semola all antica italien 12 x 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|perna spaghetti di semola all antica italien 3 x 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|perna spaghetti di semola all antica italien 6 x 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|perna torcoletti di semola all antica italien 12 x 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
