W|girlan|chardonnay riserva curlan|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|chardonnay riserva curlan doc|??|w|chardonnay|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|classici 448 slm rosso|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|classici pinot bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|classici pinot bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=4
W|girlan|classici pinot bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=4
W|girlan|classici pinot bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=4
W|girlan|classici pinot bianco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|classici pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|classici pinot grigio|??|w|pinot grigio|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|curlan pinot nero riserva doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|cuvee cabernet merlot riserva doc flora|??|r|merlot|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|cuvee lagreinmerlot doc laurin|??|r|merlot|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|cuvee rose igt 448 slm lapnvn dv|??|p|??|??|??|2025|12.5|igt|leve|aperitivos, frutos do mar, saladas|seco
W|girlan|cuvee rot igt 448 slm lapnvn|??|r|??|??|??|2024|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|cuvee weiss igt 448 slm wbchsb dv|??|r|??|??|??|2024|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|cuvee weiss igt 448 slm wbchsb dv|??|r|??|??|??|2025|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|fass nr 9 vernatsch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
