W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|giuseppe|mascarello barolo monprivato ca dmorissio|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato ca dmorissio riserva|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato piedmont italy|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato riserva ca dmorissio|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato riserva ca dmorissio|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato riserva ca dmorissio|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato riserva ca dmorissio|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato riserva ca dmorissio|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=24
W|giuseppe|mascarello barolo monprivato riserva ca dmorisso|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato riserva ca dmorisso|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=26
W|giuseppe|mascarello barolo monprivato riserva ca dmorisso|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=26
W|giuseppe|mascarello barolo monprivato riserva ca dmorisso|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato riserva ca dmorrissio|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato riserva ca dmorrissio|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo monprivato riserva ca dmorrissio|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=31
W|giuseppe|mascarello barolo monprivato riserva ca dmorrissio|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=31
W|giuseppe|mascarello barolo perno|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo perno vigna santo stefano|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo perno vigna santo stefano|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo perno vigna santo stefano|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo perno vigna santo stefano|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva|it|r|??|barolo|barolo|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva ca dmorissio|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva monprivato ca datmmorissio|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva monprivato ca datmmorissio|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva monprivato ca datmmorissio|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva monprivato ca datmmorissio|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva monprivato ca del morissio|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva monprivato ca del morissio|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva monprivato ca dmorissio|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva monprivato ca dmorissio|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva monprivato ca dmorissio|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=48
W|giuseppe|mascarello barolo riserva monprivato ca dmorissio|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo riserva monprivato ca dmorissio|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=50
W|giuseppe|mascarello barolo riserva monprivato ca dmorissio|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
