W|gladstone vineyards|pinot gris|??|w|pinot gris|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gladstone vineyards|rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gladstone vineyards|sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gladstone vineyards|viognier|??|w|viognier|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gladys|silver shimmer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amonra unfiltered shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=10
W|glaetzer|amon ra|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|glaetzer|amon ra|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra barossa shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=27
W|glaetzer|amon ra shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=27
W|glaetzer|amon ra unflitered shiraz 15 abv|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amonra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amonra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=31
W|glaetzer|amonra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=31
W|glaetzer|amonra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=31
W|glaetzer|amonra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=31
W|glaetzer|amonra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=31
W|glaetzer|amonra|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amonra|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amonra|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amonra|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amonra|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amonra|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amonra barossa shiraz|??|r|shiraz|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amonra barossa shiraz|??|r|shiraz|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glaetzer|amonra barossa shiraz|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
