W|glasskrukke|6 pk|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glasskrukke|8 pk|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glasskrukke|med klipslokk ass str 0751|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glasskrukke|med klipslokk og gummiring 15 dl|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glasskrukke|med klipslokk og gummiring 22 dl|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glassl|glassl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glasslvophng|glasslvophng|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glassmagning|med riedel veritas vinglas fredag d 10 april|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glassmaker|beaches|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glassmaker|delta breeze red blend delivered picked up cold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glassmaker|delta breeze red blend delivered picked up cold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=10
W|glassmaker|delta dawn skin contact white delivered picked up cold|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glassmaker|delta dawn skin contact white delivered picked up cold|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=12
W|glassmaker|la cienega|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glassmaker|sauvignon blanc skincontact|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
W|glasstage|juletr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
