W|glen|grant 25 year old licensed bottling gordon macphail|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 25 year old licensed bottling screw cap 1980s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 25 year old symingtons choice signatory|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 25 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 25 years first edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 26 years gambler series no5 by club qing|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 27 year old carn mor celebration of the cask 61724|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 28 year old adelphi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 45 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 5 decades limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 5 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 5 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=11
W|glen|grant 50 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 50 year old signatory vintage rare reserve|??|r|??|??|??|1966|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 50 year old gordon macphail|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 5yo old bottling 40gl 40|??|r|??|??|??|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 5yo old bottling 40gl 40|??|r|??|??|??|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 5yo seagram italia import 40|it|r|??|??|??|1979|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 5yo seagram italia import 40|it|r|??|??|??|1980|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 5yo seagram italia import 40|it|r|??|??|??|1981|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 5yo seagram italia import 40|it|r|??|??|??|1984|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant 62 ar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glen|grant arboralis single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant arboralis single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|glen|grant batch strength 1st edition 15 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant cask haven|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant cask haven|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=43
W|glen|grant cask haven|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=43
W|glen|grant cask haven|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=43
W|glen|grant cask haven single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant collection gm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant distilled in|??|r|??|??|??|1949|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant douglas laing xop 198535yo 555|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant fassdeckel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant five decades|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant gordon macphail 198040yo 448 private collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant haven|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=55
W|glen|grant majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=55
W|glen|grant majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=55
W|glen|grant majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=55
W|glen|grant majors reserve single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant majors reserve single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=60
W|glen|grant majors reserve single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=60
W|glen|grant majors reserve single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=60
W|glen|grant malt 21yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant pure malt 5 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant rothes chronicles cask haven|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant rothes chronicles cask haven|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=66
W|glen|grant rothes speyside aged 10 years single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant signatory vintage 20 ars 43|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant signatory vintage 31 year old|??|r|??|??|??|1965|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant single malt 25yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant std 700 mlt 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant the glasshouse collection 21 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant the glasshouse collection 25 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant the glasshouse collection 30 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant the majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant the majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=76
W|glen|grant the majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=76
W|glen|grant the majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=76
W|glen|grant the majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=76
W|glen|grant the majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=76
W|glen|grant the majors reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=76
W|glen|grant the majors reservegb 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant12 yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant15 yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grant18 yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|grants arboralis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|heatley grenache blanc|??|w|grenache|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glen|heatlie grenache blanc|??|w|grenache|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glen|hollow chardonnay finger lakes|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glen|hollow riesling finger lakes|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glen|isla 28 years sv cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 10 years 43o|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 10 yrs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 10yo 1990s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 12 years|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 19782008 30 year old keen light daily dram|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 30yo 513|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith ultimate 477|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 19922021 29 year old philsimon thompson 462|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 26|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith cask ref 97100 berrys|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 19932012 18 year old berrys berry brosrudd 97100|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 58 26 ar 2th fill sherry butt cask cs symington|??|f|??|??|??|1996|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glen|keith part nan angelen xv|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith sweet disposition|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|glen|keith sweet disposition 25 years old|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|glen|keith 19972017 20 year old cask strength collection signatory vintage 72608|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 201997|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 21|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 21 secret speyside malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 21 year old special aged release|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 21 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 21yo 43 wf87|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 21yo speyside single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 23 year old adelphi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 25 ars 555 19932019 wilson morgan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glen|keith 25 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
