W|glenelly|lady may|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=4
W|glenelly|lady may|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=7
W|glenelly|lady may|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|glenelly|lady may|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|glenelly|lady may|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|glenelly|lady may stellenbosch|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glenelly|lady may|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glenelly|lady may|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glenelly|lady may|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=21
