W|gloriette|gloriette|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloring|cherry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorinhas|glorinhas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioa|glorioa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloriosa|despedida|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|100 seleccion especial vino tinto rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glorioso|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=7
W|glorioso|bodegas|??|r|??|??|??|1949|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|bodegas palacio|bodegas palacio|es|r|??|??|??|1934|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|bodegas palacio|bodegas palacio|es|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|bodegas palacio|bodegas palacio|es|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|bodegas palacio|bodegas palacio|es|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=12
W|bodegas palacio|bodegas palacio|es|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=12
W|bodegas palacio|rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|bodegas reserva|??|r|??|??|??|1959|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glorioso|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glorioso|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glorioso|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glorioso|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glorioso|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glorioso|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glorioso|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glorioso|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|glorioso|crianza|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|crianza|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|crianza|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=28
W|glorioso|crianza|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|crianza botellin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|crianza rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|crianza tempranillo|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|crianza vino tinto rioja alavesa|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|crianza botellas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|crianza botellas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=35
W|glorioso|cza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=38
W|glorioso|reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|glorioso|reserva|??|r|??|??|??|1982|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|rioja reserva|es|r|??|rioja|rioja|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|rioja reserva|es|r|??|rioja|rioja|2005|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|selecao especial 100 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|selecao especial|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|seleccion especial|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|seleccion especial|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|glorioso|seleccion especial 100 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|seleccion especial 100 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=49
W|glorioso|seleccion especial crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|selection especial 100 jahre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|selection especial|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|selection especial rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorioso|vinho tinto espanhol crianza origem rioja espanha|es|r|??|rioja|rioja|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorious|bastard dasta morris|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorious|family blend|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorious|golden awards for kwv graham beck and cederberg wines at veritas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|glorious|grenache rose|??|p|grenache|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
X
W|glorious|merlot|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorious|mini orchid planter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorious|ninety|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorious|pink in vase|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|glorious|pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorious|red yellow gerbera blossoms|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorious|reds club|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloriously|gluten free|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloris|delight sandwich spread 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloris|delight sandwich spread 470g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloris|jolli mayo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloris|jolli mayo all purpose dressing|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloris|jolli mayo all purpose dressing 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloris|mayo delight|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloris|mayo delight|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=75
W|gloris|sandwich spread|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloris|sandwich spread sup|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloris|savers mayo all purpose dressing 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glorita|blend vinho fino tinto seco produto vegano|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glorita|blend vinho fino tinto seco produto vegano|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=80
W|glorita|igp|??|r|??|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gloriville|at the lake by blue|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloriville|autumn|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gloriville|autumn|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=84
W|gloriville|period period|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
