W|gold|river pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gold|river pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|rocker central otago pinot noir|nz|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|rollerball|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|rose cotes de provence|fr|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gold|rose prosecco doc bottega|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|gold|rot cuvee gutswein trocken|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|round cut diamond pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
W|gold|rupestre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|rupestre tamano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|rush|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|rush 7|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|rush cinnamon schnapps 76|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|rush cinnamon schnapps 76 proof|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|rush flute g natural base right hand flute indian professional flute right hand bansuri size 26 inch bamboo flute color yellow brown gbn103|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|russia 322612|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|sauvignon blanc paulus borhaz|??|w|sauvignon blanc|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gold|scapegrace new zealand|za|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|scorpion xqni br29|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
