W|goldene|rose sudtirol|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goldene|sonne rieslingsilvaner felsberg aoc graubunden|??|w|riesling|??|??|2023|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|goldener|tropfen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldenes|geschenkset|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldenes|loch riesling gg|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldeneye|goldeneye|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldeneye|pinot noir anderson valley california|us|r|pinot noir|california|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldeneye|anderson valley pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldeneye|anderson valley pino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldeneye|anderson valley pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldeneye|anderson valley pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=10
W|goldeneye|anderson valley pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=10
W|goldeneye|anderson valley pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=10
W|goldeneye|anderson valley pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=10
W|goldeneye|anderson valley pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=10
W|goldeneye|anderson valley pinot noir|??|r|pinot noir|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldeneye|anderson valley pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
