W|gonzalez|byass matusalem vors|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass matusalem vors 30 year oloroso sherry|us|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass matusalem vors cream|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass medium sherry christina 8 year jerez spain|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|gonzalez|byass nectar pedro ximenez 15|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nectar pedro ximenez jerezxerezsherry do bottles|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass nectar pedro ximenez nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nectar pedro ximenez nv sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass nectar pedro ximenez sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass nectar pedro ximenez sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=22
W|gonzalez|byass nectar pedro ximenez sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=22
W|gonzalez|byass nectar pedro ximenez sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=22
