W|gordon|macphail private collection speyburn 592 cask 6045101 refill sherry butt bottled in|??|f|??|??|??|1977|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gordon|macphail private collection speyburn 592 cask 6045101 refill sherry butt bottled in|??|f|??|??|??|1977|20|??|encorpado|queijos, sobremesas, chocolate|doce|=1
W|gordon|macphail private collection st magdalene 548 cask refill american hogshead bottled in|??|r|??|??|??|2094|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail private collection st magdalene 548 cask refill american hogshead bottled in|??|r|??|??|??|2094|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=3
W|gordon|macphail private collection teaninich cask 7010 633|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail rare old st magdalene 40 bottled in|??|r|??|??|??|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail rare old st magdalene 40 bottled in|??|r|??|??|??|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=6
W|gordon|macphail rosebank 19831995 connoisseurs choice|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordon|macphail rosebank rare old distilled bottled|??|p|??|??|??|1989|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
X
W|gordon|macphail royal brackla 14yo 554 connoisseurs choice|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail scapa 13 year|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail speyburn 602 connoisseurs choice|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail strathisla|??|r|??|??|??|1960|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail strathisla 25 years old 40 abv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail strathisla collection sherry casks 43 vintage case of 1xset|??|f|??|??|??|1954|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gordon|macphail strathisla collection sherry casks 43 vintage case of 1xset|??|f|??|??|??|1954|20|??|encorpado|queijos, sobremesas, chocolate|doce|=16
W|gordon|macphail teaninich 12 year|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail the dram takers collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail the dram takers collection volume 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail the glenrothes discovery 11yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail the recollection series 2 25 year imperial distillery|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
