W|gotas|amargas nativo bitters orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de cannabis indica bioverd|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de habla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de habla|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de habla tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de mar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de mar albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotas|de mar albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=7
W|gotas|de mar albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=7
W|gotas|de mar albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=7
W|gotas|de mar albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=7
W|gotas|de mar albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=7
W|gotas|de mar albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=7
W|gotas|de mar albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=7
W|gotas|de mar albarino spain|es|w|albarino|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotas|de mar albarino spain|es|w|albarino|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotas|de mar albarino|??|w|albarino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotas|de mar albarino|??|w|albarino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=17
W|gotas|de mar albarino spain|es|w|albarino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotas|de mar albarino do|??|w|albarino|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotas|de mar albarino rias baixas|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotas|de mar albarino rias baixas|??|w|albarino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotas|de mar albarino single bottle|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotas|de mar albarino single bottle|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=23
W|gotas|de mar godello|??|r|godello|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de mar godello|??|r|godello|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=25
W|gotas|de mar godello|??|r|godello|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=25
W|gotas|de mar godello 125 abv|??|r|godello|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
