W|graham|s quinta dos malvedos vintage port|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s quinta dos malvedos|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s quinta dos malvedos|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s quinta dos malvedos|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=3
W|graham|s quinta dos malvedos|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s quinta dos malvedos vintage|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s quinta dos malvedos vintage in|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s quinta dos malvedos lbv|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s ruby|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s single harvest tawny port|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s single harvest the cellar master trilogy presentation box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s six grapes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s six grapes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=12
W|graham|s six grapes reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s six grapes reserve port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s six grapes reserve port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=15
W|graham|s six grapes reserve port 20 vol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
