W|grahams|late bottle vintage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottle vintage porto portugal|pt|f|??|??|??|2019|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|late bottled vintage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=3
W|grahams|late bottled vintage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=3
W|grahams|late bottled vintage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=3
W|grahams|late bottled vintage|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage quinta dos malvedos|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|grahams|late bottled vintage|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|grahams|late bottled vintage|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|grahams|late bottled vintage lbv portvin ink gaveske|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage lbv|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage lbv douro|pt|r|??|douro|douro|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage lbv douro|pt|r|??|douro|douro|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage lbv douro|pt|r|??|douro|douro|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage lbv port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|late bottled vintage port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=24
