W|gran bassano|vermouth bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran bassano|vermouth rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bazan|albarino etiqueta verde|??|w|albarino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran bazan|albarino|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran bazan|albarino verde case of|??|w|albarino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran bericanto|riserva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bericanto|riserva colli berici doc|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bericanto|riserva in etui colli|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bericanto|riserva colli berici doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gran blanco|fina reserva|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gran bodega|bonarda|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bodega|malbecbonarda|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bodega|vinho bonarda|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bohedal|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran bohedal|tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bon|astuccio 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bosque|baul|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bosque|gran bosque|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bosque|cab private rsv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran bosque|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran box|floral|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran brianza|specialitate de vita bresaola 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran brindis|gran brindis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran buche|gran buche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran buche|de finca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran buig|gran buig|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran burge|gb32 chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran ca|gran ca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran ca|rosado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gran cabernet|gran cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran cabernet|franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran cabernet|franc flechas de los andes|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran cabernet|franc xl|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran cabernet|sauvignon lv|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran caffe|29 07|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran calcareo|malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran callejo|gran callejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran callejo|gran callejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=37
W|gran callejo|gran callejo|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran callejo|bodegas felix callejo 96 points|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran callejo|bodegas felix callejo 96 points|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|gran callejo|callejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran callejo|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran callejo|gran reserva ribera del duero do bodegas felix callejo|??|r|??|??|??|1994|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran callejo|reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran callejo|ribera del duero|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran calzadilla|gran calzadilla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran calzadilla|vino de la tierra de castilla|es|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran calzadilla|gran calzadilla|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran calzadilla|bodegas uribes madero vino de la tierra de castilla|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran campo|viejo cava brut reserva|es|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut
W|gran campo|viejo cava brut reserve|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran campo|viejo cava brut rose r|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran canaria|tinto fronton de oro canary islands spain|es|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran canasta|navidena|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran cardiel|verdejo|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran casar|torta del casar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran caserio|cabernet merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran caserio|cabernet merlot red wine|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran caserio|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran caserio|chardonnay white wine|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran caserio|wine cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran caserio|wine cabernet sauvignon red wine|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran caserio|wine merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran castillo|barcelona sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran castillo|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran castillo|cabernet sauvignon alcoholfree|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran castillo|cabernet sauvignon shiraz bib|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran castillo|cava|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gran castillo|chardonnay alcoholfree|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran castillo|coleccion paradores crianza valencia dop|??|r|??|??|??|2016|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gran castillo|coleccion paradores reserva valencia dop|??|r|??|??|??|2015|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gran castillo|ibiza bobal moscato rose|??|p|moscato|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gran castillo|paradores reserva murviedro valencia dop hiszpania|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gran castillo|rocio cava brut rose|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran castillo|rocio rose cava brut nv spain|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran castillo|selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran castillo|selection chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran castillo|selection shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran castillo|sevilla cabernet sauvignon shiraz|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran castillo|shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran castillo|tempranillo rose|es|p|tempranillo|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gran castillo|tempranillo rose bib|es|p|tempranillo|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gran castillo|viura chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran castillo|viura chardonnay bib|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran cata|terroirs malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran cata|terroirs malbec cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran caus|ad fines pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran caus|blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran caus|blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=89
W|gran caus|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran caus|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=91
W|gran caus|brut rosado|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran caus|extra brut reserva|??|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|extra brut
