W|gran legado|tinto suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran leirina|albarino|es|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran leirina|godello|es|r|godello|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran leirina|treixadura|es|r|treixadura|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran leirina|treixadura|es|r|treixadura|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=4
W|gran lerma|gran lerma|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lerma|finca el borro tempranillo|es|r|tempranillo|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lerma|reserva|es|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lerma|tempranillo|es|r|tempranillo|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran levita|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
X
X
X
X
X
S
W|gran livenza|cava|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gran livenza|cava brut|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran livenza|cava brut|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=18
W|gran livenza|cava brut spanje|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran livenza|cava semi seco|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|demi-sec
W|gran loco|blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran logrado|collita|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran logrado|cosecha|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran logrado|crianca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran logrado|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran logrado|reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lomo|malbec argentina|ar|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lomo|malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lomo|malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|gran lomo|malbec argentina|ar|r|malbec|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lomo|malbec argentina|ar|r|malbec|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lomo|malbec argentina|ar|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=28
W|gran lomo|malbec|??|r|malbec|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lomo|malbec argentina 125|ar|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lomo|syrahmalbec|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lovara|assemblage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|gran luchito|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|cantina beans 430g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|chipotle chilli paste 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|chipotle lime paste 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|chipotle salsa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|chipotle tortilla crisps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|cruncy jalapeno and pineapple 215g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|refried beans with smoky chipotle 430g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|roasted serrano green chillies 215g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|soft taco wraps 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|street tacos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|tomatillo salsa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|tortilla burrito wraps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luchito|tortilla crisps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luiz|gran luiz|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luna|gran luna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luna|unidad|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lurton|gran lurton|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lurton|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran lurton|blanco corte friulano|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran lurton|blanco francois lurton mendoza|ar|w|??|mendoza|mendoza|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran lurton|blanco los chacayes ig slv bodega piedra negra|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran lurton|blanco los chacayes ig slv bodega piedra negra|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran lurton|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lurton|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=61
W|gran lurton|corte argentino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lurton|corte argentino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=63
W|gran lurton|corte argentino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=63
W|gran lurton|corte argentino caja de madera de regalo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lurton|lurton reserve mendoza|ar|r|??|mendoza|mendoza|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lurton|tinto francois lurton mendoza|ar|r|??|mendoza|mendoza|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran lurton|white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran lurton|white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=69
W|gran luxe|fuet extra de vic piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luxe|fuet extra de vic piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=71
W|gran luxe|fuet extra de vic piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=71
W|gran luxe|fuet extra de vic piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=71
W|gran luxe|salchichon extra de vic large piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luxe|salchichon extra de vic large piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=75
W|gran luxe|salchichon extra de vic large piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=75
W|gran luxe|salchichon extra de vic large piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=75
W|gran luxe|salchichon extra de vic piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran luxe|salchichon extra de vic piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=79
W|gran luxe|salchichon extra de vic piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=79
W|gran luxe|salchichon extra de vic piece|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=79
W|gran maestro|appasimento bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran maestro|appassimento|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|appassimento bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran maestro|appassimento rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|appassimento rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|gran maestro|appassimento rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|gran maestro|appassimento rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|gran maestro|appassimento rosso puglia italia|it|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|appassimento rosso|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|appassimento rosso 3 szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|appassimento rosso 6 szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|bianco appassimento|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran maestro|bianco appassimento 3 szt|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran maestro|bianco appassimento 6 szt|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran maestro|bianco puglia|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran maestro|bianco puglia appassimento|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran maestro|bianco puglia appassimento|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=98
W|gran maestro|bianco puglia appassimento|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=98
W|gran maestro|bianco puglia igt|it|w|??|??|??|2020|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gran maestro|bianco puglia igt|it|w|??|??|??|2020|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=101
W|gran maestro|doc primitivo di manduria|??|r|primitivo|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|doc primitivo di manduria|??|r|primitivo|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=103
W|gran maestro|gran maestro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|offida rosso docg|??|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|primitivo di manduria|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|primitivo di manduria|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=107
