W|gran siesta|biodinamico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran siesta|quri doble|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran signori|fragolino|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gran signori|fragolino brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
X
X
X
W|gran sombrero|almendrado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran sombrero|cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran sombrero|cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|gran sombrero|cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=9
W|gran sombrero|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran sombrero|cabernet sauvignon valle de uco mendoza|ar|r|cabernet sauvignon|mendoza|mendoza|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran sombrero|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=12
W|gran sombrero|malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran sombrero|malbec huentala wines|ar|r|malbec|??|huentala|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran sombrero|malbec gualtallary|ar|r|malbec|mendoza|gualtallary|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran sombrero|malbec huentala wines|ar|r|malbec|??|huentala|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran sombrero|malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=15
W|gran sombrero|pack malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gran sueno|gran sueno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran syrah|gran syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran syrah|caja|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran tabula|gran tabula|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran tabula|gran tabula|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=25
W|gran tabula|gran tabula|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran tagliere|con degustazione e visita cantina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran tannat|gran tannat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran tannat|premium|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran tannat|premium|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
