W|grand|soir rollon elixir set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|soir scented body lotion|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|solage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|solage aquavit cask|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|grand|sotol la escondida blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|sovereign red church|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sparkling tasting sunday 29 september 124pm|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grand|spicy wasabi flavored potato chips snacks|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud cabernet 135|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud cabernet 135|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=10
W|grand|sud cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|sud chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=13
W|grand|sud chardonnay 125|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|sud chardonnay 125|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=15
W|grand|sud chardonnay 125|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=15
W|grand|sud chardonnay 125|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=15
W|grand|sud chardonnay 125 bib|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|sud chardonnay blanc|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|sud chardonnay trocken 6|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|sud grenache lieblich 125|??|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud grenache lieblich 13|??|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud grenache lieblich 13|??|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|grand|sud grenache rose lieblich 12|??|p|grenache|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|sud malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=27
W|grand|sud merlot 13|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud merlot 13|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|grand|sud merlot 13|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|grand|sud merlot 13|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|grand|sud merlot 135|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud merlot halbtrocken 13|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud merlot rose|??|p|merlot|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|sud merlot rose|??|p|merlot|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=36
W|grand|sud merlot rose 125|??|p|merlot|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|sud merlot rose 125|??|p|merlot|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=38
W|grand|sud merlot rose 125 bib|??|p|merlot|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|sud merlot rose 135|??|p|merlot|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|sud merlot rose igp|??|p|merlot|??|??|nv|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|grand|sud merlot trocken 6|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud mouelleux medium sweet white 105|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|grand|sud mouelleux medium sweet white 105|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|doce|=44
W|grand|sud pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|sud sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|sud sauvignon blanc 11|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|sud sauvignon blanc 11|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=48
W|grand|sud syrah 125|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|sud syrah 135|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|superior wine tasting|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tannat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=54
W|grand|tayac|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|teppes|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|teppes rouge|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|teppes rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|teppes rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=59
W|grand|terroir meiner kapitelberg blanc de noirs extra brut|??|s|??|??|??|2017|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grand|terroir pillnitzer koniglicher weinberg blanc de blancs extra brut|??|s|??|??|??|2017|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grand|terroir proschwitzer katzensprung blanc de meunier extra brut|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
