W|grande|reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|grande|reserve 12 fl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve 130 lehmann|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve 1864 blanc de blancs grand cru brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grande|reserve nature|??|r|??|??|??|1984|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve vaeni|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve cru brut champagne vilmart cie|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grande|reserve|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=10
W|grande|reserve|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
W|grande|reserve 15 6|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=16
W|grande|reserve exceptional vintage|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|grande|reserve|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|grande|reserve|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=25
W|grande|reserve|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve bio cremant de die|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grande|reserve bio faugeres aop binet jacquet|??|r|??|??|??|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|grande|reserve blanc ixsir|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grande|reserve blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grande|reserve branco|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de pierreux|grande reserve brouilly|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
