W|grant|burge meshach shiraz|??|r|shiraz|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge meshach shiraz|??|r|shiraz|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|grant|burge meshach shiraz|??|r|shiraz|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|grant|burge meshach shiraz|??|r|shiraz|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge meshach shiraz|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge meshach shiraz|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|grant|burge meshach shiraz|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=5
W|grant|burge meshach shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge meshach shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=8
W|grant|burge meshach shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=8
W|grant|burge meshach shiraz|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge meshach shiraz barossa valley|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge meshach shiraz barossa valley|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=12
W|grant|burge meshach shiraz barossa valley australia|??|r|shiraz|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge methode pinot noir chardonnay nv australia|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge methode pinotchardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge miamba barossa shiraz australia|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge miamba shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge miamba shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=18
W|grant|burge miamba shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=18
W|grant|burge miamba shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=18
W|grant|burge miamba shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=18
W|grant|burge miamba shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=18
W|grant|burge miamba shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge miamba shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=24
