W|chateau ludeman la cote vignobles belloc|chateau ludeman la cote vignobles belloc|es|r|??|bordeaux|graves|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|aoc|es|r|??|bordeaux|graves|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau puy boyrein|aoc|es|r|??|bordeaux|graves|2021|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de callac cuvee prestige|aoc|es|r|??|bordeaux|graves|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau prieure lagrave|aoc|es|r|??|bordeaux|graves|2015|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau rahoul|aoc|es|r|??|bordeaux|graves|2017|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|closerie des connetables|aoc|es|r|??|bordeaux|graves|2022|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau rahoul|aoc lorangerie de rahoul|es|r|??|bordeaux|graves|2020|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau das|aop|es|r|??|bordeaux|graves|2020|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau ducasse rouge|aop|es|r|??|bordeaux|graves|2021|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau pavillon de boyrein|aop|es|r|??|bordeaux|graves|2019|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|bio sans sulfites sans lombre dun soufre|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|blanc|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau les clauzots|blanc|es|w|??|bordeaux|graves|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graves|blanc|es|w|??|bordeaux|graves|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graves|blanc|es|w|??|bordeaux|graves|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=15
W|graves|blanc ch crabitey|es|w|??|bordeaux|graves|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graves|blanc ch crabitey|es|w|??|bordeaux|graves|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau darricaud|blanc|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau darricaud|blanc|es|w|??|bordeaux|graves|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau de callac|blanc|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau jouvente|blanc|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau ludeman la cote|blanc|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
