W|greystone|organic waipara pinot gris|??|w|pinot gris|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|organic waipara pinot gris|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|organic waipara pinot gris|??|w|pinot gris|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|organic waipara pinot noir rose|??|p|pinot noir|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|greystone|petillant natuel|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|petillant naturel|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=7
W|greystone|pinot gris|??|w|pinot gris|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|pinot gris 202223|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|pinot gris|??|w|pinot gris|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|pinot gris north canterbury|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|pinot gris north canterbury|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=12
W|greystone|pinot gris pinot gris north canterbury gi|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|pinot gris waipara valley|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|pinot noir|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|pinot noir|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=18
W|greystone|pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=18
W|greystone|pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=18
W|greystone|pinot noir north canterbury 201921|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|pinot noir north canterbury 201921|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=22
W|greystone|pinot noir rose|??|p|pinot noir|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|greystone|pnoir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|riesling|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=27
W|greystone|riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=27
W|greystone|riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=27
W|greystone|riesling|??|w|riesling|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|riesling|??|w|riesling|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=31
W|greystone|riesling north canterbury 202425|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|riesling north canterbury 202425|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=33
W|greystone|riesling petnat|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|riesling waipara north canterbury|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|greystone|rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|greystone|rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=38
W|greystone|rose|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|greystone|rose north canterbury 202425|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|greystone|rose north canterbury 202425|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=41
W|greystone|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=43
W|greystone|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=43
W|greystone|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=43
W|greystone|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=43
W|greystone|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=43
W|greystone|sauvignon blanc north canterbury 202223|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|sauvignon blanc north canterbury 202223|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=49
W|greystone|thomas bros pinot noir|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|thomas bros pinot noir|??|r|pinot noir|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|thomas brothers pinot noir north canterbury|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|thomas brothers pinot noir north canterbury|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|greystone|vineyard ferment pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|vineyard ferment pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=55
W|greystone|vineyard ferment pinot noir|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|vineyard ferment pinot noir|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|greystone|vineyard ferment pinot noir|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|vineyard ferment pinot noir|??|r|pinot noir|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|vineyard ferment pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|waipara chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|waipara organic pinot noir|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|waipara pinot gris|??|w|pinot gris|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|waipara pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|waipara pinot noir|??|r|pinot noir|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|waipara riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|waipara riesling|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|waipara riesling|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|waipara riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|waipara sand dollar pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|waipara valley pinot gris 20222024|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|wines|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|wines barrel fermented sauvignon blanc waipara new zealand|nz|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greystone|wines norwester pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greystone|wines vineyard pinot noir berry bros rudd|??|r|pinot noir|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greytown|honey|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|marlborough wild sauvignon|nz|r|??|??|marlborough|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|wild sauvignon sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|archive chardonnay|??|w|chardonnay|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|archive chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|archive wild sauvignon|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|botrytis pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|botrytis pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=85
W|greywacke|botrytis pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=85
W|greywacke|botrytis pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=85
W|greywacke|botrytis pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=85
W|greywacke|botrytis pinot gris|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|botrytis pinot gris|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=90
W|greywacke|botrytis pinot gris|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=90
W|greywacke|botrytised pinot gris marlborough|nz|w|pinot gris|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|botrytised pinot gris marlborough|nz|w|pinot gris|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=93
W|greywacke|by kevin judd sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
