W|griesel|bdb degorgement tardif blanc de blancs brut nature|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|blanc de blancs|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|griesel|blanc de blancs tradition brut|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|blanc de blancs tradition brut 1|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|blanc de blancs tradition brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|blanc de blancs tradition brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut|=5
W|griesel|blanc de blancs tradition brut 1|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|blanc de noirs tradition|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|griesel|blanc de noirs tradition brut 1|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|blanc de noirs tradition brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|blanc de noirs tradition brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut|=10
W|griesel|chardonnay prestige brut nature|??|s|chardonnay|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|compagnie blanc de noirs tradition brut|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|compagnie blanc de blancs tradition brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|compagnie blanc de noirs tradition brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|compagnie riesling tradition brut|??|s|riesling|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|compagnie rose tradition brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|compagnie blanc de blancs brut tradition white|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|compagnie blanc de blancs degorgement tardif brut nature white|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|compagnie blanc de noirs|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|griesel|compagnie blanc de noirs brut tradition white|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|compagnie grande cuvee dosage zero exquisit white|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|griesel|compagnie grande cuvee dosage zero exquisit white|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|griesel|compagnie grande cuvee dosage zero exquisit late release white|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|griesel|compagnie grande cuvee reserve brut nature exquisit white|??|s|??|??|??|2014|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|compagnie pinot blanc auerbacher hollberg brut nature white|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|compagnie pinot blanc brut nature prestige late release white|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|compagnie pinot noir auerbacher hollberg brut nature white|??|s|pinot noir|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|compagnie pinot noir brut nature prestige white|??|s|pinot noir|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|compagnie pinot noir granit f brut nature exquisit white|??|s|pinot noir|??|??|2016|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|compagnie riesling brut nature prestige white|??|s|riesling|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|compagnie riesling brut tradition white|??|s|riesling|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|compagnie riesling flor extra brut vinocentral unikat white|??|s|riesling|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|griesel|compagnie riesling reserve dosage zero exquisit white|??|w|riesling|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|griesel|compagnie riesling reserve perpetuelle brut nature exquisit 20132017 white|??|s|riesling|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|compagnie rose brut tradition white|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|compagnie rose brut tradition white|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut|=36
W|griesel|compagnie rose extra brut prestige late release white|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|griesel|compagnie von wiesen eisenkraut quitte|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griesel|company blanc de blancs brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|company blanc de noirs brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|company griesel riesling brut|??|s|riesling|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|grande cuvee dosage zero|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griesel|grande cuvee exquisit dosage zero|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griesel|late release chardonnay prestige brut nature|??|s|chardonnay|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|late release grande cuvee exquisit dosage zero|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griesel|late release grande cuvee exquisit dosage zero 1|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griesel|paket|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griesel|pinot blanc auerbacher hollberg granit h|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|griesel|pinot blanc prestige brut nature|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|pinot noir auerbacher hollberg granit h|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griesel|pinot noir prestige brut nature|??|s|pinot noir|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|riesling prestige extra brut|??|s|riesling|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|griesel|riesling tradition|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|griesel|riesling tradition brut|??|s|riesling|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|riesling tradition brut|??|s|riesling|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|rose brut tradition|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|rose prestige|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|griesel|rose prestige extra brut|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
