W|grillo|giardinello doc sicilia|it|r|??|sicily|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|giardinello doc sicilia bio|it|r|??|sicily|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|igp alagna biae wytrawne|??|r|??|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|igt sicilia|it|r|??|sicily|??|2024|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|il salinaro carlo pellegrino|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|inzolia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|kados duca di salaparuta|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|karima musita|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|kebrilla cantine fina sicilia doc|it|r|??|sicily|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|kerbrilladoc|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|kore bio colomba bianca|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|la zolla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|lagunare|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|linea sette vigne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|luma|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|luma cantine cellaro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|luna lunas tinto|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|1 barraco|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|mandrarossa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|miral cantine fina sicilia doc|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|mozia sicilia doc tasca dalmerita|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|naturalmente bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|nicuzza|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|olli feudo maccari sicily 125|it|r|??|sicily|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|organic cantine paolini sicily|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|organic colline delle rose terre di vita sicily italy|it|p|??|sicily|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grillo|organic coste a preola doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|paolini sicily italy 12 vol|it|r|??|sicily|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|parlante|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|parlante bianco sicilia doc fondo antico|it|w|??|sicily|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|grillo|parlante sicilia doc fondo antico|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|pinzeri funaro doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|punto 8 sicilia doc weiwein wein trocken italien 12|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|punto 8 sicilia doc weiwein wein trocken italien 3|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|punto 8 sicilia doc weiwein wein trocken italien 6|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|reserva|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|riserva aralto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|riserva sicilia doc biologico grappoli del grillo marco de bartoli|it|r|??|sicily|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|roccarosa sicilia italy|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|rocce di pietra longa centopassi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|rocce di pietra longa organic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|rupe secca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|rupe secca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=42
W|grillo|rupe secca|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|salaparuta doc time az vinicola vaccaro|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|salinaro pellegrino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|salinaro pellegrino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=46
W|grillo|santa margherita vino di contrada sm|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|santa margherita vino di contrada sm|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=48
W|grillo|sauvignon blanc sicilia doc barone montalto|it|w|sauvignon blanc|sicily|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|grillo|sauvignon blanc sicilia doc barone montalto|it|w|sauvignon blanc|sicily|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=50
W|grillo|schioppetino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|grillo|sicilia|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|grillo|sicilia|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|grillo|sicilia|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|grillo|sicilia|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|grillo|sicilia|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|grillo|sicilia|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|grillo|sicilia gold|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia gold|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=61
W|grillo|sicilia gold|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=61
W|grillo|sicilia gold|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=61
W|grillo|sicilia gold|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=61
W|grillo|sicilia gold|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=61
W|grillo|sicilia gold|it|r|??|sicily|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=61
W|grillo|sicilia agramante luna gaia bio|it|r|??|sicily|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc|it|r|??|sicily|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc coste a preola tenuta gorghi tondi|it|r|??|sicily|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc|it|r|??|sicily|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc ohana maenza|it|r|??|sicily|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc sur sur donnafugata|it|r|??|sicily|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc acacia cantine colosi|it|r|??|sicily|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc agramante vino bianco luna gaia biologico|it|w|??|sicily|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|grillo|sicilia doc angelo|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc angelo|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=77
W|grillo|sicilia doc aulico|it|r|??|sicily|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc baginbox 5 litri giacondi|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc baglio di pianetto|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc bio costa al sole|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc bio kebrilla fina|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc bio kebrilla fina|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|grillo|sicilia doc bio porta del vento|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc bio viviri tenuta rapitala|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc bio viviri tenuta rapitala|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|grillo|sicilia doc biologico|it|r|??|sicily|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc biologico baglio di grisi|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc biologico edesia alcesti|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc biologico erabio tenute plaia|it|r|??|sicily|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc biologico helios di giovanna|it|r|??|sicily|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc biologico helios di giovanna|it|r|??|sicily|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc biologico vurria di giovanna|it|r|??|sicily|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc cantine paolini|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc case sparse biologico baglio di grisi|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc collezione di famiglia barone montalto|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc collezione di famiglia barone montalto|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=97
W|grillo|sicilia doc dacastello|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc feudo dei sani|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc giacondi|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc i sensi abbazia santa anastasia|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc i tini|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc i tini|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=103
W|grillo|sicilia doc molino a vento tenute orestiadi|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc novantaceppi|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc passiperduti|it|r|??|sicily|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia doc tosone|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia dop|it|r|??|sicily|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia fiordiligi|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia luma igt|it|r|??|sicily|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilia mbettata doc lunaria orsogna bio demeter vegan|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sicilien doc cantine paolini|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|spumante brut fazio wines|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grillo|sur sur donnafugata|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sur sur donnafugata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|sur sur donnafugata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=116
W|grillo|sursur donnafugata|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|talia bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|tareni pellegrino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|tenuta bastonaca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|tenuta bastonaca doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|tenute mokarta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|tenute mokarta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=123
W|grillo|tenute mokarta doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|terebinto sicilia doc planeta|it|r|??|sicily|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|terre siciliane doc nino gandolfo sicilia|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|terre siciliane igp tenute mokarta|it|r|??|sicily|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|terzavia metodo classico marco di bartoli|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|timeo baglio di pianetto|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|timpa feudo montini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|timpa feudo montoni|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|tosone sicilia doc|it|r|??|sicily|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|vente cantine ermes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|vigna di mandranova bio|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|vigna verde de bartoli|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|vigna verde de bartoli|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|grillo|vigna verde marco de bartoli|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|vino biologico doc biae|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
