W|gruner|veltliner ida gold|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner ida gold|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=1
W|gruner|veltliner ida gold|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=1
W|gruner|veltliner igt garlider|??|w|??|??|??|2018|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner ikon|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner ikon 075 liter|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner im weingebirge federspiel nikolaihof|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner im weingebirge smaragd nikolaihof|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner im weingebirge smaragd nikolaihof|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner in den kreuthern|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner inbiovinoveritas 1 liter|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner jakob schonberger burgerland|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner jg federspiel hogl|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner johann gisperg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner johanna weingut rock|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner jules taylor|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner junger osterreicher|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner jungwein die moserin|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner k8s veltlinske zelene|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner kaasgraben bio|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner kabinett|??|w|??|??|??|1995|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner kabinett|??|w|??|??|??|1995|12.5|??|medio|peixes, frutos do mar, saladas|seco|=21
W|gruner|veltliner kabinett|??|w|??|??|??|1999|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner kaferberg alte reben kamptal dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner kaferberg alte reben kamptal dac 1|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner kaferberg dac reserve weszeli|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner kaferberg k5|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner kaiserberg federspiel wachau dac domane wachau|at|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner kaiserberg smaragd 95 p falstaff hogl josef spitzvieling|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
