W|gruner|veltliner rustenberg reserve|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner saazen|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner salz rauch|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner salz und rauch|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sand 1|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sandgrube|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sandgrube|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sandgrube|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sandgrube kremstal|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sandgrube weingut rainer wess|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sandstein|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schafflerberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schafflerberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=13
W|gruner|veltliner schafflerberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=13
W|gruner|veltliner schafflerberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=13
W|gruner|veltliner schatzberg bio sonnenhugel bile vino suche|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner scheiben 1owt leth|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner scheiben lagenreserve weingut leth|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schenkenbichel erste lage l hiedler|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schiefer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schiefer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=21
W|gruner|veltliner schiefer leithaberg dac|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schieferstein|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schieflage|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schieflage|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schleinzer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schleinzer edelretzer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schloss gobelsburg erste lage renner austria o v|at|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schloss gobelsburg erste lage renner austria|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schlossberg 1 otw biodynamisch 13 vol|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schlossberg fritsch karl oberstockstall|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schlossberg alte rebe reserve|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schlosskellerei gobelsburg gobelsburg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schlosskellerei gobelsburg gobelsburg|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schotter loss|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schutt smaragd knoll emmerich unterloiben|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schwarz|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner schwarze mauriti|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sdona zornberg donabaum sighardt 075 liter|??|w|??|??|??|1997|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner seeberg matthias hager austrian white wine|at|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
