W|guiborat|prisme|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiborat|prisme blanc de blancs extra brut nv base|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|guiborat|prisme champagne bdb grand cru extra brut 14 base nv|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|guiborat|prisme echo grand cru champagne france|fr|s|??|champagne|??|2015|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guiborat|prisme extra brut blanc des blancs|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|guiborat|prisme grand cru champagne france|fr|s|??|champagne|??|2020|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guiborat|prisme grand cru extra brut champagne|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|guiborat|prisme17 nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiborat|prisme17 nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=8
W|guiborat|prohibition blancdenoir pinot meunier|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guiborat|prohibition nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiborat|prohibition nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=11
W|guiborat|prohibition pinot meunier nondose nv base|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiborat|prohibition pinot meunier nv base|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiborat|tethys|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiborat|tethys 21 grand cru blanc de blancs|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guiborat|tethys blanc de blancs grand cru extra brut nv|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|guiborat|tethys blancdeblancs grand cru extra brut 21|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|guiborat|tethys extra brut blanc de blancs champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|guiborat|tethys19 nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiborat|tethys19 nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|guiborat|tethys21 grand cru extra brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|guica|branco cx 3uni|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guica|tinto cx 3uni|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiccardini|strozzi bolgheri rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiccardini|strozzi vernaccia di san gimignano docg riserva|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guicciardini|strozzi ocra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guicciardino|strozzi bolgheri ocra 6 case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
