W|guy|amiot chassagnemontrachet cru les caillerets|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot chassagnemontrachet cru les caillerets|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot chassagnemontrachet cru les vergers|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot chassagnemontrachet premier cru les caillerets|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos saintjean|guy amiot chassagnemontrachet rouge cru|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot cremant de bourgogne nv|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|amiot cuvee flavie bourgogne chardonnay|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils bourgogne blanc|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils bourgogne blanc|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=8
W|guy|amiot et fils bourgogne blanc|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils bourgogne chardonnay|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils bourgogne chardonnay cuvee flavie|fr|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils bourgogne pinot noir cuvee simone|fr|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils bourgogne pinot noir cuvee simone|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils bouzeron les bouillottes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils chassagne montrachet 1 cru maltroie blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|clos st|guy amiot et fils chassagne montrachet cru jean rouge|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils chassagne montrachet vieilles vignes rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos saint|guy amiot et fils chassagnemontrachet cru jean rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos st|guy amiot et fils chassagnemontrachet cru jean rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils chassagnemontrachet cru les caillerets|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils chassagnemontrachet|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils chassagnemontrachet vieilles vignes blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils chassagnemontrachet vieilles vignes blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils chassagnemontrachet vieilles vignes rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils en remilly blanc saintaubin premier cru|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils le montrachet grand cru|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils le montrachet grand cru|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils le montrachet grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils les caillerets chassagnemontrachet premier cru|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils les demoiselles pulignymontrachet premier cru|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils meursault vieilles vignes blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils meursault vieilles vignes blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils meursault vieilles vignes blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=33
W|guy|amiot et fils meursault vieilles vignes blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils meursault vieilles vignes blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|amiot et fils pinot noir cuvee simone red|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils pinot noir cuvee simone rouge|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils pulignymontrachet cru les demoiselles|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils pulignymontrachet cru les demoiselles|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils pulignymontrachet premier cru les demoiselles|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|amiot et fils pulignymontrachet premier cru les demoiselles|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
