W|habata|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habata|cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habata|cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habata|calcrete chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|habata|reserve pinotage|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habata|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|habata|sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|habata|unwooded chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|habata|unwooded chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|habata|white muscadel|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|habcsok|habcsok|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habcsok|habcsok|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habcsok|51|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habelas|hailas crema cafe jamaicano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habelas|hailas crema cafe jamaicano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|habelas|hailas crema de fresa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habelas|hailas crema de nube de fresa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habelas|hailas crema de nube de fresa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=17
W|habelas|hailas crema de nube de lima y limon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habelas|hailas crema de nube de lima y limon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=19
W|habelas|hailas crema de nube de mango y coco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|habelas|hailas crema de nube de mango y coco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=21
