W|hacienda|lopez de haro blanco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro blanco barrica 12 sc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro blanco barrica 12 sc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro blanco doca|??|w|??|??|??|2024|12.5|doca|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro blanco doca|??|w|??|??|??|2024|12.5|doca|medio|peixes, frutos do mar, saladas|seco|=4
W|hacienda|lopez de haro blanco reserva|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro blanco vino blanco fresco y equilibrado|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro classica blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro classica blanco gran reserva|??|w|??|??|??|2012|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro classica gran reserva rosado 13 ck|??|p|??|??|??|2013|12.5|reserva|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro classica gran reserva tinto 14 ck|??|r|??|??|??|2005|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro classica rosado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro classica tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=14
W|hacienda|lopez de haro crianza 037|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro crianza 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro crianza 150|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro crianza|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro crianza|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro crianza|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=33
W|hacienda|lopez de haro crianza|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=33
W|hacienda|lopez de haro crianza|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro crianza|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=36
W|hacienda|lopez de haro crianza 135 ck|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro crianza 135 ck|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=38
W|hacienda|lopez de haro crianza 135 ck|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=38
W|hacienda|lopez de haro crianza|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=36
W|hacienda|lopez de haro crianza rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|hacienda|lopez de haro gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|hacienda|lopez de haro gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|hacienda|lopez de haro gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|hacienda|lopez de haro gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|hacienda|lopez de haro gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|hacienda|lopez de haro gran reserva iloilo|??|r|??|??|??|2011|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro gran reserva|??|r|??|??|??|2012|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro gran reserva|??|r|??|??|??|2014|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro gran reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro gran reserva 14 ck|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro gran reserva rioja spain|es|r|??|rioja|rioja|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|hacienda|lopez de haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|hacienda|lopez de haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|hacienda|lopez de haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|hacienda|lopez de haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|hacienda|lopez de haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|hacienda|lopez de haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|hacienda|lopez de haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|hacienda|lopez de haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|hacienda|lopez de haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|hacienda|lopez de haro reserva 075|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva 150|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva iloilo|??|r|??|??|??|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva|??|r|??|??|??|2017|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=73
W|hacienda|lopez de haro reserva 14 ck|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva 14 ck|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=75
