W|hagyomanyos|husos ragu 300 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hagyomanyos|rozsdamentes ezust teafozo kanna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hagyomanyos|szurke acel teafozo ergonomikus fogantyuval 3 literes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay pinot gris|??|w|pinot gris|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|reserve central otago pinot noir|nz|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay merlot|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|reserve marlborough chardonnay|nz|w|chardonnay|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay pinot gris|??|w|pinot gris|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay rose|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|haha|hawkes bay sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|brut cuvee|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|haha|brut cuvee|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=17
W|haha|brut cuvee|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=17
W|haha|brut cuvee|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=17
W|haha|brut cuvee|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=17
W|haha|brut cuvee|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=17
W|haha|brut cuvee label error|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|haha|brut cuvee nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|haha|brut cuvee nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=24
W|haha|brut cuvee nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=24
W|haha|brut cuvee nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=24
W|haha|brut cuvee six pack|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|haha|brut nv marlborough new zealand|nz|s|??|??|marlborough|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|haha|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|haha|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=30
W|haha|brut rose nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|haha|brut rose nv marlborough new zealand|nz|s|??|??|marlborough|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|haha|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=34
W|haha|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=34
W|haha|chardonnay 2324|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|chardonnay hawkes bay new zealand|nz|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=39
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=41
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=41
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=4
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=9
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=9
W|haha|hawkes bay chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=9
W|haha|hawkes bay chardonnay a bottle|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=54
W|haha|hawkes bay merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=54
W|haha|hawkes bay merlot|??|r|merlot|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay merlot|??|r|merlot|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay merlot|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay merlot|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay merlot|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay merlot wine delivered in a wine gift bag|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
