W|hakkaisan|seishu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hakkaisan|seishu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=1
W|hakkaisan|set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hakkaisan|snow aged 3 year junmai daiginjo yukimuro|gb|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hakkaisan|snow aged jdg 3yrs 17 gb|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hakkaisan|snowaged 3 year junmai daiginjo yukimuro|gb|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hakkaisan|snowaged junmai daiginjo 3 years|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hakkaisan|sparkling awa clear|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|hakkaisan|sparkling nigori|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|hakkaisan|sparkling nigori bottle|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|hakkaisan|tokubestu junmai nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hakkaisan|tokubestu junmai nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=11
W|hakkaisan|tokubetsu honjozo|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hakkaisan|tokubetsu honjozo|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=13
W|hakkaisan|tokubetsu honjozo|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=13
W|hakkaisan|tokubetsu honjozo|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=13
W|hakkaisan|tokubetsu honjozo 8 peaks|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
