X
X
W|halijot|musar|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halijot|musar rab obadia iosef|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
S
S
S
S
W|halite|light dry red|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halite|light dry red pinot noir syrah martinborough and bridge pa|nz|r|pinot noir|wairarapa|martinborough|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halite|light dry red pinot noir syrah martinborough and bridge pa|nz|r|pinot noir|wairarapa|martinborough|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=11
W|halite|ruby carbonic sangiovese|??|r|sangiovese|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halite|ruby carbonic sangiovese|??|r|sangiovese|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=13
X
X
W|halk geyigi|halk geyigi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halka|semi dry chardonnay bronner muscaris 5202 z|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
X
W|halkfria|utomhusgolvplattor tjocka och vattentata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|agiorgitiko|??|r|agiorgitiko|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|agiorgitiko reddish|??|r|agiorgitiko|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|agiorgitiko reddish red wine|??|r|agiorgitiko|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|amber|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|amber assyrtiko|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|amber assyrtiko white pgi corinthia peloponnese greece|gr|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|halkia|kidonitsa|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|red|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|reddish corinthia agiorgitiko|??|r|agiorgitiko|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|reddish|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|reddish corinthia|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|halkia|winery agiorgitiko red greece|gr|r|agiorgitiko|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkia|winery reddish agiorgitiko|??|r|agiorgitiko|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkidiki|green olives 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkidikis|green olives 700gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|halkollagen|hialuron komplex por malnas jutavit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
