W|hess|cabernet sauvignon mvrk retail 22|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|cabernet sauvignon north coast|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|cabernet sauvignon shirtail ranch|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|cabernet sauvignon shirtail ranch|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|cabernet shirtail ranches|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|chardonnay allomi 2019|??|w|chardonnay|??|??|2019|13|??|medio|peixes, frango, queijos leves|seco
W|hess|chardonnay allomi 2019|??|w|chardonnay|??|??|2019|13|??|medio|peixes, frango, queijos leves|seco|=6
W|hess|chardonnay monterey county|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco
W|hess|chardonnay select|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|chardonnay select monterey county|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|chardonnay shirtail creek vineyard 2018|??|w|chardonnay|??|??|2018|13|??|medio|peixes, frango, queijos leves|seco
W|hess|chardonnay shirtail ranch|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|chardonnay suskoll vineyard napa valley 2019|us|w|chardonnay|napa valley|napa valley|2019|13|??|medio|peixes, frango, queijos leves|seco|=6
W|hess|chardonnay suskoll vineyard napa valley 2023|us|w|chardonnay|napa valley|napa valley|2023|13|??|medio|peixes, frango, queijos leves|seco
W|hess|colection chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection 1986 napa valley cabernet sauvignon reserve|us|r|cabernet sauvignon|napa valley|napa valley|1986|13.5|reserve|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection 2021 iron corral estate grown cabernet sauvignon 750mml|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection 2021 panthera pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection 2022 allomi cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection 2022 allomi vineyard cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection 2022 lion tamer cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection 2023 maverick cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection allomi cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|collection allomi cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
